date,WBA
2014-04-24,8.16
2014-04-25,3.84
2014-04-26,8.4
2014-04-27,10.559999999999999
2014-04-28,9.12
2014-04-29,8.16
2014-04-30,7.199999999999999
2014-05-01,0.0
2014-05-02,8.16
2014-05-03,5.52
2014-05-04,24.0
2014-05-05,9.6
2014-05-06,6.72
2014-05-07,8.64
2014-05-08,7.4399999999999995
2014-05-09,4.08
2014-05-10,6.72
2014-05-11,9.84
2014-05-12,8.4
2014-05-13,6.24
2014-05-14,10.32
2014-05-15,3.5999999999999996
2014-05-16,8.4
2014-05-17,0.0
2014-05-18,3.36
2014-05-19,3.5999999999999996
2014-05-20,4.56
2014-05-21,4.8
2014-05-22,7.4399999999999995
2014-05-23,0.0
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,6.96
2014-05-28,6.72
2014-05-29,8.64
2014-05-30,3.36
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,10.559999999999999
2014-06-03,5.76
2014-06-04,0.0
2014-06-05,3.84
2014-06-06,8.879999999999999
2014-06-07,5.04
2014-06-08,7.68
2014-06-09,0.0
2014-06-10,8.16
2014-06-11,3.84
2014-06-12,6.24
2014-06-13,4.32
2014-06-14,3.5999999999999996
2014-06-15,10.08
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,6.0
2014-06-19,5.52
2014-06-20,6.0
2014-06-21,24.0
2014-06-22,13.2
2014-06-23,5.52
2014-06-24,7.68
2014-06-25,7.4399999999999995
2014-06-26,6.4799999999999995
2014-06-27,6.24
2014-06-28,7.4399999999999995
2014-06-29,0.0
2014-06-30,7.92
2014-07-01,0.0
2014-07-02,21.39
2014-07-03,11.270000000000001
2014-07-04,23.0
2014-07-05,13.34
2014-07-06,8.97
2014-07-07,16.1
2014-07-08,7.36
2014-07-09,10.58
2014-07-10,19.32
2014-07-11,0.0
2014-07-12,5.98
2014-07-13,0.0
2014-07-14,6.9
2014-07-15,12.190000000000001
2014-07-16,9.200000000000001
2014-07-17,16.1
2014-07-18,6.21
2014-07-19,17.25
2014-07-20,13.8
2014-07-21,13.8
2014-07-22,8.05
2014-07-23,15.180000000000001
2014-07-24,13.8
2014-07-25,8.05
2014-07-26,9.43
2014-07-27,0.0
2014-07-28,13.110000000000001
2014-07-29,7.82
2014-07-30,9.43
2014-07-31,0.0
2014-08-01,8.97
2014-08-02,9.43
2014-08-03,8.05
2014-08-04,6.21
2014-08-05,22.310000000000002
2014-08-06,16.560000000000002
