date,NKE
2015-12-09,5.28
2015-12-10,6.930000000000001
2015-12-11,8.91
2015-12-12,2.97
2015-12-13,2.97
2015-12-14,9.24
2015-12-15,11.55
2015-12-16,7.260000000000001
2015-12-17,9.57
2015-12-18,6.6000000000000005
2015-12-19,7.92
2015-12-20,3.96
2015-12-21,9.24
2015-12-22,29.700000000000003
2015-12-23,23.76
2015-12-24,33.0
2015-12-25,7.92
2015-12-26,6.2700000000000005
2015-12-27,3.6300000000000003
2015-12-28,14.850000000000001
2015-12-29,8.58
2015-12-30,8.58
2015-12-31,8.91
2016-01-01,7.5600000000000005
2016-01-02,1.6800000000000002
2016-01-03,10.360000000000001
2016-01-04,22.400000000000002
2016-01-05,26.880000000000003
2016-01-06,17.64
2016-01-07,18.200000000000003
2016-01-08,16.520000000000003
2016-01-09,7.280000000000001
2016-01-10,5.040000000000001
2016-01-11,10.64
2016-01-12,15.400000000000002
2016-01-13,15.120000000000001
2016-01-14,16.8
2016-01-15,14.000000000000002
2016-01-16,7.5600000000000005
2016-01-17,3.9200000000000004
2016-01-18,8.96
2016-01-19,20.160000000000004
2016-01-20,23.240000000000002
2016-01-21,28.000000000000004
2016-01-22,12.88
2016-01-23,10.080000000000002
2016-01-24,2.8000000000000003
2016-01-25,10.64
2016-01-26,20.720000000000002
2016-01-27,16.8
2016-01-28,17.360000000000003
2016-01-29,20.44
2016-01-30,8.96
2016-01-31,10.360000000000001
2016-02-01,14.5
2016-02-02,12.5
2016-02-03,14.25
2016-02-04,12.0
2016-02-05,20.75
2016-02-06,5.75
2016-02-07,11.0
2016-02-08,15.0
2016-02-09,14.25
2016-02-10,18.0
2016-02-11,19.25
2016-02-12,20.75
2016-02-13,9.0
2016-02-14,4.25
2016-02-15,8.0
2016-02-16,16.25
2016-02-17,20.75
2016-02-18,17.25
2016-02-19,20.25
2016-02-20,4.0
2016-02-21,8.75
2016-02-22,14.75
2016-02-23,17.75
2016-02-24,13.25
