date,CSCO
2014-09-30,24.09
2014-10-01,22.32
2014-10-02,32.76
2014-10-03,15.479999999999999
2014-10-04,15.12
2014-10-05,6.12
2014-10-06,20.52
2014-10-07,28.08
2014-10-08,29.16
2014-10-09,19.08
2014-10-10,36.0
2014-10-11,16.919999999999998
2014-10-12,0.0
2014-10-13,16.919999999999998
2014-10-14,26.279999999999998
2014-10-15,32.4
2014-10-16,30.959999999999997
2014-10-17,15.12
2014-10-18,0.0
2014-10-19,7.56
2014-10-20,31.32
2014-10-21,29.52
2014-10-22,33.48
2014-10-23,27.36
2014-10-24,31.68
2014-10-25,20.16
2014-10-26,7.56
2014-10-27,23.4
2014-10-28,21.24
2014-10-29,20.52
2014-10-30,22.32
2014-10-31,33.48
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,10.12
2014-11-04,11.88
2014-11-05,14.96
2014-11-06,18.48
2014-11-07,22.0
2014-11-08,7.48
2014-11-09,6.6
2014-11-10,15.4
2014-11-11,23.32
2014-11-12,41.8
2014-11-13,44.0
2014-11-14,27.72
2014-11-15,10.12
2014-11-16,0.0
2014-11-17,15.84
2014-11-18,27.72
2014-11-19,22.88
2014-11-20,29.48
2014-11-21,24.64
2014-11-22,2.64
2014-11-23,0.0
2014-11-24,11.0
2014-11-25,22.88
2014-11-26,25.080000000000002
2014-11-27,12.32
2014-11-28,11.44
2014-11-29,4.84
2014-11-30,4.4
2014-12-01,22.549999999999997
2014-12-02,22.549999999999997
2014-12-03,30.749999999999996
2014-12-04,36.08
2014-12-05,41.0
2014-12-06,32.8
2014-12-07,4.1
2014-12-08,22.139999999999997
2014-12-09,29.52
2014-12-10,34.44
2014-12-11,15.17
2014-12-12,29.93
2014-12-13,0.0
2014-12-14,9.84
2014-12-15,17.63
2014-12-16,40.589999999999996
2014-12-17,28.29
2014-12-18,28.29
2014-12-19,31.979999999999997
2014-12-20,18.45
2014-12-21,0.0
2014-12-22,24.189999999999998
2014-12-23,36.489999999999995
2014-12-24,25.83
2014-12-25,13.94
2014-12-26,18.45
2014-12-27,12.709999999999999
2014-12-28,4.51
2014-12-29,11.889999999999999
2014-12-30,34.85
2014-12-31,35.26
2015-01-01,7.2
