date,IBM
2014-08-17,29.25
2014-08-18,69.0
2014-08-19,65.25
2014-08-20,69.75
2014-08-21,69.0
2014-08-22,68.25
2014-08-23,32.25
2014-08-24,26.25
2014-08-25,62.25
2014-08-26,75.0
2014-08-27,69.0
2014-08-28,71.25
2014-08-29,65.25
2014-08-30,33.0
2014-08-31,27.0
2014-09-01,28.0
2014-09-02,61.6
2014-09-03,68.0
2014-09-04,64.8
2014-09-05,65.60000000000001
2014-09-06,32.0
2014-09-07,23.200000000000003
2014-09-08,59.2
2014-09-09,63.2
2014-09-10,64.8
2014-09-11,61.6
2014-09-12,58.400000000000006
2014-09-13,26.400000000000002
2014-09-14,24.0
2014-09-15,63.2
2014-09-16,68.8
2014-09-17,67.2
2014-09-18,75.2
2014-09-19,64.0
2014-09-20,27.200000000000003
2014-09-21,25.6
2014-09-22,68.8
2014-09-23,68.8
2014-09-24,79.2
2014-09-25,71.2
2014-09-26,60.0
2014-09-27,29.6
2014-09-28,26.400000000000002
2014-09-29,58.400000000000006
2014-09-30,80.0
2014-10-01,42.78
2014-10-02,43.71
2014-10-03,40.92
2014-10-04,16.740000000000002
2014-10-05,15.81
2014-10-06,39.99
2014-10-07,39.99
2014-10-08,45.57
2014-10-09,46.5
2014-10-10,37.2
2014-10-11,18.6
2014-10-12,16.740000000000002
2014-10-13,35.34
2014-10-14,43.71
2014-10-15,47.43
2014-10-16,42.78
2014-10-17,43.71
2014-10-18,20.46
2014-10-19,19.53
2014-10-20,93.0
2014-10-21,73.47
2014-10-22,59.52
2014-10-23,54.870000000000005
2014-10-24,43.71
2014-10-25,21.39
2014-10-26,19.53
2014-10-27,48.36
2014-10-28,54.870000000000005
2014-10-29,55.800000000000004
2014-10-30,50.220000000000006
2014-10-31,41.85
2014-11-01,34.65
2014-11-02,26.95
2014-11-03,68.53
2014-11-04,73.15
2014-11-05,66.22
2014-11-06,64.68
2014-11-07,58.52
2014-11-08,30.8
2014-11-09,30.03
2014-11-10,60.83
2014-11-11,70.84
2014-11-12,68.53
2014-11-13,69.3
2014-11-14,63.14
2014-11-15,29.26
2014-11-16,26.18
2014-11-17,66.22
2014-11-18,70.84
2014-11-19,77.0
2014-11-20,70.84
2014-11-21,61.6
