date,Walmart Stock Price
2015-06-12,6.82
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,6.38
2015-06-16,7.15
2015-06-17,9.13
2015-06-18,4.95
2015-06-19,2.75
2015-06-20,0.0
2015-06-21,3.3
2015-06-22,5.61
2015-06-23,10.89
2015-06-24,7.15
2015-06-25,6.6
2015-06-26,3.19
2015-06-27,10.89
2015-06-28,3.63
2015-06-29,6.38
2015-06-30,0.0
2015-07-01,6.49
2015-07-02,5.94
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,6.38
2015-07-06,7.15
2015-07-07,8.58
2015-07-08,5.61
2015-07-09,7.48
2015-07-10,1.65
2015-07-11,2.97
2015-07-12,0.0
2015-07-13,3.85
2015-07-14,8.58
2015-07-15,9.46
2015-07-16,8.03
2015-07-17,5.39
2015-07-18,4.07
2015-07-19,0.0
2015-07-20,11.0
2015-07-21,7.59
2015-07-22,3.19
2015-07-23,2.09
2015-07-24,4.73
2015-07-25,0.0
2015-07-26,3.96
2015-07-27,5.5
2015-07-28,4.18
2015-07-29,6.38
2015-07-30,7.48
2015-07-31,7.04
2015-08-01,1.35
2015-08-02,5.4
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,3.15
2015-08-06,2.85
2015-08-07,4.05
2015-08-08,4.95
2015-08-09,0.0
2015-08-10,3.3
2015-08-11,4.35
2015-08-12,2.7
2015-08-13,1.2
2015-08-14,5.4
2015-08-15,2.1
2015-08-16,3.15
2015-08-17,5.25
2015-08-18,6.75
2015-08-19,4.5
2015-08-20,7.949999999999999
2015-08-21,6.6
2015-08-22,6.45
2015-08-23,4.65
2015-08-24,15.0
2015-08-25,12.45
2015-08-26,9.45
2015-08-27,9.45
2015-08-28,6.9
2015-08-29,3.75
2015-08-30,1.95
2015-08-31,3.0
2015-09-01,12.48
2015-09-02,7.28
2015-09-03,11.05
2015-09-04,10.14
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,6.5
2015-09-08,12.22
2015-09-09,7.0200000000000005
2015-09-10,7.67
2015-09-11,6.24
2015-09-12,7.54
2015-09-13,2.34
2015-09-14,6.76
2015-09-15,6.5
2015-09-16,7.930000000000001
2015-09-17,7.67
2015-09-18,8.71
2015-09-19,4.16
2015-09-20,10.14
2015-09-21,9.23
2015-09-22,7.930000000000001
2015-09-23,13.0
2015-09-24,7.0200000000000005
2015-09-25,6.76
2015-09-26,3.51
2015-09-27,2.8600000000000003
2015-09-28,5.98
2015-09-29,3.25
2015-09-30,6.5
2015-10-01,3.96
2015-10-02,4.62
2015-10-03,2.2
2015-10-04,4.62
2015-10-05,4.62
2015-10-06,4.4
2015-10-07,3.52
2015-10-08,4.62
2015-10-09,2.64
2015-10-10,1.32
2015-10-11,2.42
2015-10-12,5.94
2015-10-13,3.3
2015-10-14,9.9
2015-10-15,22.0
2015-10-16,17.6
2015-10-17,6.82
2015-10-18,4.84
2015-10-19,6.82
2015-10-20,8.8
2015-10-21,4.84
2015-10-22,11.0
2015-10-23,3.3
2015-10-24,5.06
2015-10-25,3.08
2015-10-26,9.02
2015-10-27,9.02
2015-10-28,7.26
2015-10-29,8.36
2015-10-30,5.06
2015-10-31,3.08
2015-11-01,10.2
2015-11-02,11.56
2015-11-03,12.41
2015-11-04,16.830000000000002
2015-11-05,13.260000000000002
2015-11-06,10.37
2015-11-07,0.0
2015-11-08,6.29
2015-11-09,8.5
2015-11-10,14.96
2015-11-11,15.3
2015-11-12,12.58
2015-11-13,15.3
2015-11-14,4.590000000000001
2015-11-15,3.2300000000000004
2015-11-16,15.98
2015-11-17,9.18
2015-11-18,13.6
2015-11-19,17.0
2015-11-20,14.11
2015-11-21,6.29
2015-11-22,0.0
2015-11-23,9.52
2015-11-24,8.16
2015-11-25,12.920000000000002
2015-11-26,9.01
2015-11-27,6.970000000000001
2015-11-28,3.91
2015-11-29,2.3800000000000003
2015-11-30,13.77
2015-12-01,7.36
2015-12-02,7.52
2015-12-03,15.2
2015-12-04,11.84
2015-12-05,4.32
2015-12-06,6.72
2015-12-07,11.52
2015-12-08,12.16
2015-12-09,9.76
2015-12-10,2.4
2015-12-11,16.0
2015-12-12,4.8
2015-12-13,3.36
2015-12-14,9.6
2015-12-15,12.16
2015-12-16,13.12
2015-12-17,14.56
2015-12-18,9.28
2015-12-19,7.04
2015-12-20,5.6000000000000005
2015-12-21,10.08
2015-12-22,12.96
2015-12-23,11.36
2015-12-24,10.88
2015-12-25,5.12
2015-12-26,6.4
2015-12-27,3.84
2015-12-28,8.48
2015-12-29,6.88
2015-12-30,10.56
2015-12-31,0.0
2016-01-01,3.99
2016-01-02,0.0
2016-01-03,3.42
2016-01-04,5.32
2016-01-05,7.22
2016-01-06,7.22
2016-01-07,10.07
2016-01-08,9.88
2016-01-09,2.09
2016-01-10,1.14
2016-01-11,7.6
2016-01-12,6.2700000000000005
2016-01-13,6.2700000000000005
2016-01-14,7.98
2016-01-15,19.0
2016-01-16,11.97
2016-01-17,3.99
2016-01-18,5.32
2016-01-19,7.98
2016-01-20,8.36
2016-01-21,7.98
2016-01-22,8.36
2016-01-23,4.18
2016-01-24,4.94
2016-01-25,5.13
2016-01-26,9.69
2016-01-27,6.84
2016-01-28,8.36
2016-01-29,7.98
2016-01-30,5.13
2016-01-31,2.09
2016-02-01,8.8
2016-02-02,5.76
2016-02-03,7.2
2016-02-04,6.72
2016-02-05,4.8
2016-02-06,3.84
2016-02-07,3.36
2016-02-08,9.28
2016-02-09,9.6
2016-02-10,7.84
2016-02-11,16.0
2016-02-12,8.96
2016-02-13,6.5600000000000005
2016-02-14,6.4
2016-02-15,4.0
2016-02-16,5.12
2016-02-17,5.12
2016-02-18,6.72
2016-02-19,8.64
2016-02-20,4.96
2016-02-21,2.72
2016-02-22,6.72
2016-02-23,7.2
2016-02-24,8.64
2016-02-25,8.48
2016-02-26,6.72
2016-02-27,4.0
2016-02-28,0.0
2016-02-29,6.88
2016-03-01,15.0
2016-03-02,14.1
2016-03-03,12.0
2016-03-04,6.6
2016-03-05,4.65
2016-03-06,4.65
