date,Merck Stock Price
2014-12-11,4.65
2014-12-12,0.0
2014-12-13,6.75
2014-12-14,0.0
2014-12-15,2.4
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,4.95
2014-12-19,5.55
2014-12-20,5.1
2014-12-21,0.0
2014-12-22,0.0
2014-12-23,0.0
2014-12-24,6.0
2014-12-25,0.0
2014-12-26,7.5
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,3.9
2014-12-30,5.7
2014-12-31,0.0
2015-01-01,7.5
2015-01-02,3.45
2015-01-03,7.05
2015-01-04,10.2
2015-01-05,0.0
2015-01-06,4.5
2015-01-07,9.3
2015-01-08,8.4
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,7.649999999999999
2015-01-12,0.0
2015-01-13,5.1
2015-01-14,3.9
2015-01-15,0.0
2015-01-16,8.549999999999999
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,8.7
2015-01-20,7.35
2015-01-21,11.55
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,9.45
2015-01-27,15.0
2015-01-28,4.65
2015-01-29,0.0
2015-01-30,9.9
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,4.95
2015-02-03,5.39
2015-02-04,8.47
2015-02-05,7.04
2015-02-06,5.06
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,2.42
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,11.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,4.62
2015-02-18,4.84
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,3.3
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,3.63
2015-02-27,0.0
2015-02-28,3.74
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,2.52
2015-03-04,7.319999999999999
2015-03-05,0.0
2015-03-06,0.0
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,3.72
2015-03-10,0.0
2015-03-11,5.16
2015-03-12,4.08
2015-03-13,0.0
2015-03-14,12.0
2015-03-15,2.64
2015-03-16,0.0
2015-03-17,2.76
2015-03-18,0.0
2015-03-19,2.4
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,4.56
2015-03-24,2.4
2015-03-25,3.48
2015-03-26,0.0
2015-03-27,0.0
2015-03-28,5.04
2015-03-29,2.64
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,0.0
2015-04-04,5.04
2015-04-05,6.12
2015-04-06,8.16
2015-04-07,4.08
2015-04-08,8.52
2015-04-09,0.0
2015-04-10,0.0
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,4.2
2015-04-14,4.56
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,11.04
2015-04-20,9.0
2015-04-21,4.8
2015-04-22,7.08
2015-04-23,0.0
2015-04-24,0.0
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,0.0
2015-04-28,12.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,7.930000000000001
2015-05-02,0.0
2015-05-03,13.0
2015-05-04,0.0
2015-05-05,3.25
2015-05-06,0.0
2015-05-07,2.6
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,0.0
2015-05-12,3.64
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,0.0
2015-05-16,0.0
2015-05-17,4.16
2015-05-18,0.0
2015-05-19,4.68
2015-05-20,4.29
2015-05-21,4.8100000000000005
2015-05-22,0.0
2015-05-23,9.23
2015-05-24,4.68
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,6.37
2015-05-28,0.0
2015-05-29,0.0
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,4.2
2015-06-02,4.7
2015-06-03,5.7
2015-06-04,0.0
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,10.0
2015-06-18,3.8
2015-06-19,4.2
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,4.800000000000001
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,0.0
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,0.0
2015-06-30,4.4
2015-07-01,0.0
2015-07-02,0.0
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,4.56
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,3.36
2015-07-09,0.0
2015-07-10,12.0
2015-07-11,0.0
2015-07-12,5.4
2015-07-13,3.84
2015-07-14,3.6
2015-07-15,9.12
2015-07-16,0.0
2015-07-17,0.0
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,8.04
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-25,4.32
2015-07-26,0.0
2015-07-27,6.6
2015-07-28,7.439999999999999
2015-07-29,7.8
2015-07-30,0.0
2015-07-31,9.48
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,3.78
2015-08-04,3.640000000000001
2015-08-05,12.6
2015-08-06,0.0
2015-08-07,14.000000000000002
2015-08-08,0.0
