date,Verizon Stock Price
2014-08-06,8.51
2014-08-07,0.0
2014-08-08,12.65
2014-08-09,7.13
2014-08-10,0.0
2014-08-11,7.590000000000001
2014-08-12,7.590000000000001
2014-08-13,15.18
2014-08-14,12.65
2014-08-15,4.37
2014-08-16,0.0
2014-08-17,0.0
2014-08-18,6.9
2014-08-19,12.65
2014-08-20,23.0
2014-08-21,9.43
2014-08-22,8.97
2014-08-23,0.0
2014-08-24,8.280000000000001
2014-08-25,19.09
2014-08-26,8.51
2014-08-27,3.22
2014-08-28,6.9
2014-08-29,14.49
2014-08-30,17.02
2014-08-31,0.0
2014-09-01,3.6
2014-09-02,10.0
2014-09-03,11.2
2014-09-04,9.8
2014-09-05,20.0
2014-09-06,8.6
2014-09-07,0.0
2014-09-08,4.800000000000001
2014-09-09,10.4
2014-09-10,20.0
2014-09-11,5.0
2014-09-12,0.0
2014-09-13,0.0
2014-09-14,0.0
2014-09-15,5.6000000000000005
2014-09-16,5.0
2014-09-17,13.0
2014-09-18,6.800000000000001
2014-09-19,9.0
2014-09-20,6.2
2014-09-21,0.0
2014-09-22,7.800000000000001
2014-09-23,13.2
2014-09-24,10.2
2014-09-25,0.0
2014-09-26,11.2
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,7.800000000000001
2014-09-30,11.2
2014-10-01,17.16
2014-10-02,10.66
2014-10-03,15.86
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,26.0
2014-10-07,6.76
2014-10-08,11.7
2014-10-09,11.18
2014-10-10,9.88
2014-10-11,0.0
2014-10-12,11.44
2014-10-13,9.88
2014-10-14,0.0
2014-10-15,8.32
2014-10-16,14.3
2014-10-17,19.24
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,4.68
2014-10-21,9.1
2014-10-22,17.42
2014-10-23,15.08
2014-10-24,21.06
2014-10-25,4.94
2014-10-26,20.54
2014-10-27,5.720000000000001
2014-10-28,10.66
2014-10-29,15.08
2014-10-30,12.48
2014-10-31,22.62
2014-11-01,8.5
2014-11-02,0.0
2014-11-03,12.58
2014-11-04,0.0
2014-11-05,7.99
2014-11-06,12.24
2014-11-07,0.0
2014-11-08,5.78
2014-11-09,0.0
2014-11-10,6.800000000000001
2014-11-11,17.0
2014-11-12,8.67
2014-11-13,0.0
2014-11-14,8.33
2014-11-15,7.99
2014-11-16,0.0
2014-11-17,11.05
2014-11-18,0.0
2014-11-19,11.39
2014-11-20,7.48
2014-11-21,12.920000000000002
2014-11-22,5.2700000000000005
2014-11-23,0.0
2014-11-24,8.16
2014-11-25,12.24
2014-11-26,5.78
2014-11-27,8.16
2014-11-28,7.65
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,5.98
2014-12-02,10.35
2014-12-03,23.0
2014-12-04,12.65
2014-12-05,22.31
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,6.21
2014-12-09,0.0
2014-12-10,18.4
2014-12-11,9.2
2014-12-12,16.560000000000002
2014-12-13,14.72
2014-12-14,8.280000000000001
2014-12-15,0.0
2014-12-16,0.0
2014-12-17,8.97
2014-12-18,22.540000000000003
2014-12-19,8.280000000000001
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,17.02
2014-12-23,20.47
2014-12-24,13.8
2014-12-25,0.0
2014-12-26,7.590000000000001
2014-12-27,0.0
2014-12-28,6.9
2014-12-29,0.0
2014-12-30,17.48
2014-12-31,14.49
2015-01-01,5.5
2015-01-02,0.0
2015-01-03,5.72
2015-01-04,5.5
2015-01-05,6.16
2015-01-06,10.56
2015-01-07,14.96
2015-01-08,3.3
2015-01-09,10.34
2015-01-10,7.48
2015-01-11,4.62
2015-01-12,9.68
2015-01-13,9.9
2015-01-14,12.98
2015-01-15,6.38
2015-01-16,5.94
2015-01-17,0.0
2015-01-18,7.04
2015-01-19,3.74
2015-01-20,8.14
2015-01-21,2.42
2015-01-22,10.78
2015-01-23,22.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,5.72
2015-01-27,6.6
2015-01-28,12.1
2015-01-29,5.28
2015-01-30,8.36
2015-01-31,11.0
2015-02-01,17.5
2015-02-02,7.25
2015-02-03,23.25
2015-02-04,18.25
2015-02-05,25.0
2015-02-06,16.5
2015-02-07,0.0
2015-02-08,13.0
2015-02-09,9.5
2015-02-10,12.0
2015-02-11,9.75
2015-02-12,11.75
2015-02-13,21.25
2015-02-14,8.5
2015-02-15,0.0
2015-02-16,13.25
2015-02-17,10.75
2015-02-18,0.0
2015-02-19,12.25
2015-02-20,0.0
2015-02-21,10.0
2015-02-22,0.0
2015-02-23,4.75
2015-02-24,12.0
2015-02-25,10.5
2015-02-26,18.25
2015-02-27,8.75
2015-02-28,8.25
2015-03-01,0.0
2015-03-02,7.92
2015-03-03,22.0
2015-03-04,0.0
2015-03-05,13.64
2015-03-06,18.48
2015-03-07,6.16
2015-03-08,0.0
2015-03-09,14.08
2015-03-10,4.4
2015-03-11,5.94
2015-03-12,14.08
2015-03-13,0.0
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,14.74
2015-03-17,0.0
2015-03-18,7.26
2015-03-19,5.28
2015-03-20,14.74
2015-03-21,12.1
2015-03-22,0.0
2015-03-23,10.78
2015-03-24,8.14
2015-03-25,0.0
2015-03-26,10.12
2015-03-27,13.42
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,4.62
2015-03-31,9.68
2015-04-01,10.08
2015-04-02,5.67
2015-04-03,9.24
2015-04-04,10.71
2015-04-05,0.0
2015-04-06,17.22
2015-04-07,5.88
2015-04-08,21.0
2015-04-09,10.71
2015-04-10,3.57
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,5.25
2015-04-14,7.979999999999999
2015-04-15,20.79
2015-04-16,8.19
2015-04-17,0.0
2015-04-18,7.77
2015-04-19,0.0
2015-04-20,8.4
2015-04-21,17.43
2015-04-22,9.24
2015-04-23,10.29
2015-04-24,10.5
2015-04-25,16.169999999999998
2015-04-26,9.03
2015-04-27,0.0
2015-04-28,4.2
2015-04-29,13.23
2015-04-30,9.87
2015-05-01,7.25
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,2.5
2015-05-05,7.0
2015-05-06,3.0
2015-05-07,6.25
2015-05-08,0.0
2015-05-09,5.0
2015-05-10,0.0
2015-05-11,2.75
2015-05-12,25.0
2015-05-13,15.75
2015-05-14,10.75
2015-05-15,11.0
2015-05-16,6.5
2015-05-17,0.0
2015-05-18,5.75
2015-05-19,11.0
2015-05-20,9.75
2015-05-21,4.25
2015-05-22,4.0
2015-05-23,6.75
2015-05-24,0.0
2015-05-25,4.5
2015-05-26,8.75
2015-05-27,6.25
2015-05-28,2.75
2015-05-29,6.25
2015-05-30,0.0
2015-05-31,3.25
2015-06-01,0.0
2015-06-02,10.12
