gvkey,datadate,fqtr,tic,conm,net_income,revenue,total_assets,shareholders_equity,total_liabilities,total_debt,sales,operating_activities_cf,capital_expenditures,interest_expense,common_shares_outstanding,earnings_per_share,dividends_per_share
002991,2015-03-31,1,CVX,CHEVRON CORP,2567.0,30438.0,269604.0,155803.0,112603.0,30025.0,30438.0,2319.0,7602.0,107.0,1880.478,1.38,1.07
002991,2015-06-30,2,CVX,CHEVRON CORP,571.0,34864.0,266455.0,154669.0,110564.0,29289.0,34864.0,9539.0,15245.0,122.0,1881.735,0.3,1.07
002991,2015-09-30,3,CVX,CHEVRON CORP,2037.0,30967.0,268449.0,154912.0,112511.0,29296.0,30967.0,14899.0,22055.0,124.0,1882.037,1.09,1.07
002991,2015-12-31,4,CVX,CHEVRON CORP,-588.0,26297.0,266103.0,152716.0,112217.0,33664.0,26297.0,19456.0,29504.0,142.0,1882.814,-0.31,1.07
002991,2016-03-31,1,CVX,CHEVRON CORP,-725.0,21418.0,263842.0,150307.0,112366.0,32709.0,21418.0,1141.0,5566.0,156.0,1884.703,-0.39,1.07
002991,2016-06-30,2,CVX,CHEVRON CORP,-1470.0,26060.0,261478.0,147163.0,113153.0,39555.0,26060.0,3672.0,10035.0,182.0,1886.52,-0.78,1.07
002991,2016-09-30,3,CVX,CHEVRON CORP,1283.0,27387.0,259863.0,146800.0,111911.0,39528.0,27387.0,8983.0,14100.0,206.0,1887.769,0.68,1.07
002991,2016-12-31,4,CVX,CHEVRON CORP,415.0,28445.0,260078.0,145556.0,113356.0,35286.0,28445.0,12846.0,18109.0,209.0,1891.507,0.22,1.08
002991,2017-03-31,1,CVX,CHEVRON CORP,2682.0,31524.0,259111.0,146592.0,111321.0,36959.0,31524.0,3879.0,3315.0,216.0,1894.557,1.43,1.08
002991,2017-06-30,2,CVX,CHEVRON CORP,1450.0,32877.0,254599.0,146203.0,107211.0,34082.0,32877.0,8915.0,6539.0,228.0,1895.003,0.77,1.08
002991,2017-09-30,3,CVX,CHEVRON CORP,1952.0,28577.0,255160.0,146713.0,107249.0,34075.0,28577.0,14285.0,9763.0,230.0,1899.374,1.03,1.08
002991,2017-12-31,4,CVX,CHEVRON CORP,3111.0,34507.0,253806.0,148124.0,104487.0,33571.0,34507.0,20515.0,13404.0,228.0,1904.702,1.65,1.08
002991,2018-03-31,1,CVX,CHEVRON CORP,3638.0,35968.0,256442.0,150356.0,104876.0,31144.0,35968.0,5043.0,2997.0,220.0,1910.957,1.92,1.12
002991,2018-06-30,2,CVX,CHEVRON CORP,3409.0,40491.0,257929.0,152198.0,104549.0,29919.0,40491.0,11898.0,6223.0,244.0,1916.147,1.79,1.12
002991,2018-09-30,3,CVX,CHEVRON CORP,4047.0,42105.0,256606.0,153575.0,101933.0,29989.0,42105.0,21467.0,9801.0,182.0,1910.774,2.13,1.12
002991,2018-12-31,4,CVX,CHEVRON CORP,3730.0,40338.0,253863.0,154554.0,98221.0,28733.0,40338.0,30618.0,13792.0,275.0,1902.838,1.97,1.12
002991,2019-03-31,1,CVX,CHEVRON CORP,2649.0,34189.0,256809.0,155045.0,100691.0,28806.0,34189.0,5057.0,2953.0,225.0,1904.726,1.4,1.19
002991,2019-06-30,2,CVX,CHEVRON CORP,4305.0,36323.0,255878.0,156395.0,98427.0,27769.0,36323.0,13840.0,6537.0,198.0,1898.418,2.28,1.19
