date,stock_name,name_price_attention
2015-07-01,MSFT,2.31
2015-07-02,MSFT,3.5000000000000004
2015-07-03,MSFT,1.7500000000000002
2015-07-04,MSFT,3.99
2015-07-05,MSFT,1.7500000000000002
2015-07-06,MSFT,0.0
2015-07-07,MSFT,1.4
2015-07-08,MSFT,3.22
2015-07-09,MSFT,2.03
2015-07-10,MSFT,2.1
2015-07-11,MSFT,0.0
2015-07-12,MSFT,0.0
2015-07-13,MSFT,0.0
2015-07-14,MSFT,2.9400000000000004
2015-07-15,MSFT,1.8200000000000005
2015-07-16,MSFT,1.61
2015-07-17,MSFT,3.08
2015-07-18,MSFT,3.5000000000000004
2015-07-19,MSFT,1.89
2015-07-20,MSFT,2.24
2015-07-21,MSFT,1.4700000000000002
2015-07-22,MSFT,7.000000000000001
2015-07-23,MSFT,1.1900000000000002
2015-07-24,MSFT,0.0
2015-07-25,MSFT,2.1
2015-07-26,MSFT,0.0
2015-07-27,MSFT,1.61
2015-07-28,MSFT,3.3600000000000003
2015-07-29,MSFT,2.03
2015-07-30,MSFT,4.2
2015-07-31,MSFT,1.89
2015-08-01,MSFT,2.34
2015-08-02,MSFT,0.0
2015-08-03,MSFT,3.42
2015-08-04,MSFT,3.33
2015-08-05,MSFT,2.97
2015-08-06,MSFT,1.26
2015-08-07,MSFT,1.62
2015-08-08,MSFT,0.0
2015-08-09,MSFT,1.26
2015-08-10,MSFT,2.07
2015-08-11,MSFT,1.62
2015-08-12,MSFT,3.69
2015-08-13,MSFT,1.53
2015-08-14,MSFT,2.07
2015-08-15,MSFT,2.88
2015-08-16,MSFT,2.34
2015-08-17,MSFT,1.53
2015-08-18,MSFT,1.89
2015-08-19,MSFT,1.35
2015-08-20,MSFT,4.32
2015-08-21,MSFT,3.51
2015-08-22,MSFT,1.89
2015-08-23,MSFT,5.13
2015-08-24,MSFT,9.0
2015-08-25,MSFT,7.02
2015-08-26,MSFT,4.41
2015-08-27,MSFT,5.31
2015-08-28,MSFT,3.33
2015-08-29,MSFT,2.07
2015-08-30,MSFT,1.98
2015-08-31,MSFT,1.98
2015-09-01,MSFT,6.48
2015-09-02,MSFT,6.5600000000000005
2015-09-03,MSFT,0.0
2015-09-04,MSFT,3.52
2015-09-05,MSFT,0.0
2015-09-06,MSFT,0.0
2015-09-07,MSFT,2.72
2015-09-08,MSFT,6.4
2015-09-09,MSFT,5.28
2015-09-10,MSFT,8.0
2015-09-11,MSFT,6.32
2015-09-12,MSFT,2.72
2015-09-13,MSFT,2.32
2015-09-14,MSFT,5.28
2015-09-15,MSFT,5.6000000000000005
2015-09-16,MSFT,2.72
2015-09-17,MSFT,4.32
2015-09-18,MSFT,2.88
2015-09-19,MSFT,1.6
2015-09-20,MSFT,2.64
2015-09-21,MSFT,5.2
2015-09-22,MSFT,5.12
2015-09-23,MSFT,7.36
2015-09-24,MSFT,3.52
2015-09-25,MSFT,1.76
2015-09-26,MSFT,2.24
2015-09-27,MSFT,0.0
2015-09-28,MSFT,7.68
2015-09-29,MSFT,6.5600000000000005
2015-09-30,MSFT,4.64
2015-10-01,MSFT,5.1000000000000005
2015-10-02,MSFT,1.1
2015-10-03,MSFT,0.0
2015-10-04,MSFT,1.5
2015-10-05,MSFT,4.2
2015-10-06,MSFT,8.0
2015-10-07,MSFT,7.800000000000001
2015-10-08,MSFT,4.2
2015-10-09,MSFT,3.1
2015-10-10,MSFT,9.2
2015-10-11,MSFT,1.6
2015-10-12,MSFT,1.8
2015-10-13,MSFT,2.9000000000000004
2015-10-14,MSFT,7.5
2015-10-15,MSFT,3.9
2015-10-16,MSFT,4.1000000000000005
2015-10-17,MSFT,0.0
2015-10-18,MSFT,4.9
2015-10-19,MSFT,4.0
2015-10-20,MSFT,2.2
2015-10-21,MSFT,4.4
2015-10-22,MSFT,7.0
2015-10-23,MSFT,10.0
2015-10-24,MSFT,0.0
2015-10-25,MSFT,1.5
2015-10-26,MSFT,6.300000000000001
2015-10-27,MSFT,5.7
2015-10-28,MSFT,4.2
2015-10-29,MSFT,7.5
2015-10-30,MSFT,3.0
2015-10-31,MSFT,0.0
2015-11-01,MSFT,3.6
2015-11-02,MSFT,7.36
2015-11-03,MSFT,6.640000000000001
2015-11-04,MSFT,8.0
2015-11-05,MSFT,6.0
2015-11-06,MSFT,3.36
2015-11-07,MSFT,3.6
2015-11-08,MSFT,2.0
2015-11-09,MSFT,4.4
2015-11-10,MSFT,0.0
2015-11-11,MSFT,6.32
2015-11-12,MSFT,7.6
2015-11-13,MSFT,4.48
2015-11-14,MSFT,0.0
2015-11-15,MSFT,0.0
2015-11-16,MSFT,6.08
2015-11-17,MSFT,2.08
2015-11-18,MSFT,6.0
2015-11-19,MSFT,5.76
2015-11-20,MSFT,7.04
2015-11-21,MSFT,2.72
2015-11-22,MSFT,6.640000000000001
2015-11-23,MSFT,5.76
2015-11-24,MSFT,3.04
