date,CAT
2015-04-11,62.0
2015-04-12,56.42
2015-04-13,45.88
2015-04-14,48.36
2015-04-15,48.36
2015-04-16,50.84
2015-04-17,48.36
2015-04-18,54.56
2015-04-19,59.52
2015-04-20,50.84
2015-04-21,48.36
2015-04-22,48.98
2015-04-23,48.36
2015-04-24,52.7
2015-04-25,53.94
2015-04-26,57.04
2015-04-27,48.98
2015-04-28,56.42
2015-04-29,47.74
2015-04-30,49.6
2015-05-01,46.2
2015-05-02,51.0
2015-05-03,52.2
2015-05-04,49.2
2015-05-05,48.0
2015-05-06,49.2
2015-05-07,49.2
2015-05-08,49.2
2015-05-09,54.0
2015-05-10,57.6
2015-05-11,47.4
2015-05-12,47.4
2015-05-13,50.4
2015-05-14,46.8
2015-05-15,54.6
2015-05-16,51.6
2015-05-17,60.0
2015-05-18,48.0
2015-05-19,49.8
2015-05-20,49.2
2015-05-21,46.8
2015-05-22,51.6
2015-05-23,56.4
2015-05-24,54.0
2015-05-25,54.6
2015-05-26,47.4
2015-05-27,51.0
2015-05-28,54.0
2015-05-29,52.2
2015-05-30,53.4
2015-05-31,57.6
2015-06-01,50.82
2015-06-02,55.440000000000005
2015-06-03,47.52
2015-06-04,56.760000000000005
2015-06-05,57.42
2015-06-06,64.68
2015-06-07,64.68
2015-06-08,51.48
2015-06-09,55.440000000000005
2015-06-10,54.78
2015-06-11,52.8
2015-06-12,56.760000000000005
2015-06-13,63.36
2015-06-14,64.68
2015-06-15,49.5
2015-06-16,53.46
2015-06-17,54.120000000000005
2015-06-18,60.06
2015-06-19,56.760000000000005
2015-06-20,59.400000000000006
2015-06-21,61.38
2015-06-22,58.74
2015-06-23,59.400000000000006
2015-06-24,58.080000000000005
2015-06-25,58.74
2015-06-26,54.78
2015-06-27,66.0
2015-06-28,64.68
2015-06-29,54.120000000000005
2015-06-30,56.1
2015-07-01,53.120000000000005
2015-07-02,52.48
2015-07-03,57.6
2015-07-04,61.44
2015-07-05,60.8
2015-07-06,51.2
2015-07-07,49.92
2015-07-08,55.68
2015-07-09,52.48
2015-07-10,54.4
2015-07-11,58.24
2015-07-12,64.0
2015-07-13,47.36
2015-07-14,53.76
2015-07-15,53.76
2015-07-16,53.120000000000005
2015-07-17,53.76
2015-07-18,58.24
2015-07-19,62.08
2015-07-20,45.44
2015-07-21,51.84
2015-07-22,56.32
2015-07-23,57.6
2015-07-24,54.4
2015-07-25,59.52
2015-07-26,61.44
2015-07-27,54.4
2015-07-28,49.92
2015-07-29,55.68
2015-07-30,51.84
2015-07-31,58.24
2015-08-01,56.32
2015-08-02,62.08
2015-08-03,55.68
2015-08-04,54.4
2015-08-05,55.04
2015-08-06,52.48
2015-08-07,54.4
2015-08-08,64.0
2015-08-09,63.36
2015-08-10,53.76
2015-08-11,53.120000000000005
2015-08-12,54.4
2015-08-13,53.76
2015-08-14,58.24
2015-08-15,64.0
2015-08-16,60.16
2015-08-17,54.4
2015-08-18,55.04
2015-08-19,55.04
2015-08-20,51.2
2015-08-21,58.24
2015-08-22,58.88
2015-08-23,58.88
2015-08-24,50.56
2015-08-25,54.4
2015-08-26,52.48
2015-08-27,58.24
2015-08-28,55.68
2015-08-29,63.36
2015-08-30,62.72
2015-08-31,48.0
2015-09-01,45.99
2015-09-02,46.62
2015-09-03,46.62
2015-09-04,49.14
2015-09-05,56.07
2015-09-06,63.0
2015-09-07,55.44
2015-09-08,51.03
2015-09-09,44.1
2015-09-10,44.1
2015-09-11,46.62
2015-09-12,56.07
2015-09-13,51.03
2015-09-14,45.36
2015-09-15,47.25
2015-09-16,45.36
2015-09-17,48.51
2015-09-18,49.77
2015-09-19,53.55
2015-09-20,49.77
2015-09-21,46.62
2015-09-22,46.62
2015-09-23,47.88
2015-09-24,49.14
2015-09-25,48.51
2015-09-26,52.92
2015-09-27,52.92
2015-09-28,47.88
2015-09-29,44.73
2015-09-30,45.36
2015-10-01,39.75
2015-10-02,36.75
2015-10-03,39.75
2015-10-04,39.75
2015-10-05,36.0
2015-10-06,37.5
2015-10-07,38.25
2015-10-08,38.25
2015-10-09,37.5
2015-10-10,42.0
2015-10-11,39.75
2015-10-12,37.5
2015-10-13,36.75
2015-10-14,39.0
2015-10-15,37.5
2015-10-16,41.25
2015-10-17,46.5
2015-10-18,46.5
2015-10-19,36.75
2015-10-20,39.0
2015-10-21,39.0
2015-10-22,42.75
2015-10-23,42.0
2015-10-24,45.75
2015-10-25,49.5
2015-10-26,41.25
2015-10-27,42.0
2015-10-28,42.0
2015-10-29,56.25
2015-10-30,58.5
2015-10-31,75.0
2015-11-01,68.0
2015-11-02,46.92
2015-11-03,48.96
2015-11-04,48.96
2015-11-05,51.00000000000001
2015-11-06,53.040000000000006
2015-11-07,56.440000000000005
2015-11-08,53.720000000000006
2015-11-09,49.64
2015-11-10,55.080000000000005
2015-11-11,53.040000000000006
2015-11-12,54.400000000000006
2015-11-13,54.400000000000006
2015-11-14,56.440000000000005
2015-11-15,55.080000000000005
2015-11-16,52.36000000000001
2015-11-17,51.68000000000001
2015-11-18,57.120000000000005
2015-11-19,53.720000000000006
2015-11-20,53.040000000000006
2015-11-21,58.48
2015-11-22,65.28
2015-11-23,55.760000000000005
2015-11-24,50.32
2015-11-25,52.36000000000001
2015-11-26,60.52
2015-11-27,57.120000000000005
2015-11-28,63.24
2015-11-29,58.48
2015-11-30,48.28
2015-12-01,55.3
2015-12-02,60.9
2015-12-03,57.4
2015-12-04,53.2
2015-12-05,61.6
2015-12-06,65.1
2015-12-07,55.3
2015-12-08,53.9
2015-12-09,56.7
2015-12-10,56.0
2015-12-11,59.49999999999999
2015-12-12,62.3
2015-12-13,62.99999999999999
2015-12-14,58.8
2015-12-15,55.3
2015-12-16,57.4
2015-12-17,60.2
2015-12-18,57.4
2015-12-19,70.0
2015-12-20,65.1
2015-12-21,56.7
2015-12-22,56.7
2015-12-23,56.7
2015-12-24,62.3
2015-12-25,69.3
2015-12-26,60.2
2015-12-27,60.2
2015-12-28,53.9
2015-12-29,57.4
2015-12-30,56.0
2015-12-31,60.9
2016-01-01,66.03
2016-01-02,58.93
2016-01-03,71.0
2016-01-04,55.38
2016-01-05,54.67
2016-01-06,56.8
2016-01-07,51.83
2016-01-08,55.38
2016-01-09,64.61
2016-01-10,61.06
2016-01-11,50.41
2016-01-12,53.25
2016-01-13,54.67
2016-01-14,48.28
2016-01-15,56.8
2016-01-16,65.32
2016-01-17,63.19
2016-01-18,65.32
2016-01-19,58.93
2016-01-20,58.22
2016-01-21,62.48
2016-01-22,63.9
2016-01-23,66.03
2016-01-24,63.9
2016-01-25,53.25
2016-01-26,60.35
2016-01-27,55.38
2016-01-28,56.8
2016-01-29,57.51
2016-01-30,60.35
2016-01-31,63.19
2016-02-01,45.88
2016-02-02,49.6
2016-02-03,45.26
2016-02-04,46.5
2016-02-05,52.08
2016-02-06,53.94
2016-02-07,54.56
2016-02-08,45.26
2016-02-09,45.88
2016-02-10,47.12
2016-02-11,47.74
2016-02-12,47.74
2016-02-13,56.42
2016-02-14,55.18
2016-02-15,47.74
2016-02-16,45.88
2016-02-17,48.98
2016-02-18,50.84
2016-02-19,62.0
2016-02-20,54.56
2016-02-21,55.18
2016-02-22,48.36
2016-02-23,48.36
2016-02-24,47.74
2016-02-25,50.22
2016-02-26,55.18
2016-02-27,57.04
2016-02-28,56.42
2016-02-29,49.6
2016-03-01,62.37
2016-03-02,63.0
2016-03-03,60.48
2016-03-04,56.7
2016-03-05,59.22
2016-03-06,61.74
2016-03-07,50.4
2016-03-08,53.55
2016-03-09,54.81
2016-03-10,59.85
2016-03-11,54.18
2016-03-12,61.74
2016-03-13,57.33
2016-03-14,53.55
2016-03-15,52.29
2016-03-16,52.29
2016-03-17,52.29
2016-03-18,56.7
2016-03-19,57.33
2016-03-20,59.22
2016-03-21,50.4
2016-03-22,51.03
2016-03-23,52.92
2016-03-24,54.81
2016-03-25,57.33
2016-03-26,63.0
2016-03-27,61.11
2016-03-28,56.7
2016-03-29,52.29
2016-03-30,54.18
2016-03-31,53.55
2016-04-01,61.11
2016-04-02,62.37
2016-04-03,62.37
2016-04-04,49.77
2016-04-05,57.96
2016-04-06,54.18
2016-04-07,50.4
2016-04-08,56.7
2016-04-09,60.48
2016-04-10,61.74
2016-04-11,54.81
2016-04-12,54.81
2016-04-13,56.07
2016-04-14,55.44
2016-04-15,57.33
2016-04-16,59.22
2016-04-17,59.22
2016-04-18,51.03
2016-04-19,57.96
2016-04-20,52.29
2016-04-21,54.18
2016-04-22,57.33
2016-04-23,60.48
2016-04-24,51.66
2016-04-25,47.25
2016-04-26,52.92
2016-04-27,53.55
2016-04-28,52.29
2016-04-29,59.22
2016-04-30,63.0
2016-05-01,62.98
2016-05-02,56.95
2016-05-03,56.28
2016-05-04,54.27
2016-05-05,59.63
2016-05-06,56.95
2016-05-07,63.650000000000006
2016-05-08,62.31
2016-05-09,56.95
2016-05-10,57.620000000000005
2016-05-11,58.96
2016-05-12,60.3
2016-05-13,62.31
2016-05-14,65.66000000000001
