date,MSFT,AAPL,Visa,JPM,UNH,WMT,JNJ,PG,INTC,DIS,VZ,AMGN,IBM,CAT,NKE,AXP,HON,BA,GS,MMM,TRV,DOW
2004-04-26,2.16,0.0,61.2,0.0,7.409999999999999,4.29,0.0,28.0,13.6,2.09,4.68,0.0,0.0,0.0,0.0,0.0,9.46,18.56,29.160000000000004,0.0,0.0,1.8
2004-04-27,0.0,0.0,63.92,3.19,15.96,0.0,0.0,28.0,0.0,6.08,3.96,0.0,0.0,0.0,0.0,0.0,0.0,20.59,29.700000000000003,0.0,0.0,2.64
2004-04-28,2.7,0.42,58.48,0.0,5.13,0.0,2.2,21.35,0.0,6.84,4.5,0.0,0.0,0.0,0.0,5.7,8.6,24.36,37.260000000000005,0.0,0.0,3.12
2004-04-29,0.0,0.0,53.720000000000006,0.0,13.11,0.0,0.0,21.7,6.29,2.85,0.0,0.0,0.0,0.0,0.0,6.3,0.0,8.99,37.8,0.0,33.6,2.76
2004-04-30,0.0,0.0,53.040000000000006,11.0,18.24,0.0,0.0,23.8,7.48,6.65,0.0,0.0,0.0,0.0,0.0,0.0,13.76,25.23,48.06,0.0,0.0,2.12
2004-05-01,0.0,0.0,54.02,0.0,55.46,0.0,0.0,10.2,0.0,18.0,0.0,0.0,44.82,39.16,0.0,0.0,0.0,25.76,24.5,8.64,29.04,0.8999999999999999
2004-05-02,0.0,0.0,54.76,8.0,12.98,0.0,0.0,7.48,0.0,0.0,14.000000000000002,0.0,44.82,38.28,0.0,18.13,0.0,8.4,28.42,0.0,80.96,1.56
2004-05-03,0.0,0.0,68.08,0.0,11.21,0.0,0.0,9.86,0.0,4.14,0.0,2.8000000000000003,74.7,33.88,0.0,12.58,27.200000000000003,16.520000000000003,34.3,0.0,52.8,2.28
2004-05-04,6.08,0.0,65.86,2.48,59.0,4.32,6.6,12.920000000000002,4.0,3.42,0.0,0.0,71.38,33.44,0.0,0.0,18.0,12.32,37.73,3.6,0.0,2.49
2004-05-05,3.28,0.52,67.34,0.0,17.7,10.08,4.2,12.24,3.84,3.42,5.040000000000001,0.0,73.03999999999999,32.12,0.0,0.0,27.200000000000003,15.68,27.44,0.0,0.0,0.87
2004-05-06,2.72,0.0,62.9,0.0,20.06,0.0,0.0,3.4000000000000004,3.04,2.34,2.66,0.0,66.39999999999999,34.76,5.0,15.91,40.0,16.520000000000003,26.95,0.0,39.6,1.92
2004-05-07,5.36,0.3,63.64,0.0,13.57,0.0,3.24,8.16,0.0,4.68,0.0,0.0,73.03999999999999,35.64,0.0,37.0,29.200000000000003,7.56,27.93,4.32,0.0,1.59
2004-05-08,8.0,0.0,54.02,0.0,0.0,8.96,0.0,17.34,16.0,5.94,10.36,0.0,57.27,40.04,0.0,0.0,0.0,16.8,49.0,6.84,0.0,0.8999999999999999
2004-05-09,0.0,0.0,62.9,0.0,0.0,10.08,0.0,34.0,0.0,7.56,0.0,0.0,44.82,41.36,0.0,0.0,34.4,28.000000000000004,27.93,18.0,88.0,1.29
2004-05-10,0.0,0.38,57.72,0.0,33.04,3.68,0.0,4.760000000000001,5.92,5.58,6.44,0.0,81.33999999999999,36.08,0.0,0.0,26.4,23.8,33.81,6.3,0.0,3.0
2004-05-11,0.0,0.66,63.64,0.0,33.04,0.0,3.6,8.84,0.0,7.199999999999999,0.0,0.0,79.67999999999999,31.68,0.0,0.0,15.2,22.12,27.93,0.0,0.0,2.46
2004-05-12,1.84,0.0,64.38,0.0,10.03,0.0,0.0,8.84,0.0,7.739999999999999,0.0,0.0,71.38,35.2,0.0,0.0,27.200000000000003,21.56,28.91,0.0,50.16,1.89
2004-05-13,0.0,0.0,61.42,0.0,40.12,0.0,5.279999999999999,12.58,0.0,4.32,0.0,0.0,61.42,34.32,0.0,0.0,12.4,22.680000000000003,35.77,3.78,40.48,1.98
