date,stock_name,attention_ticker
2020-03-02,Boeing Stock Price,15.0
2020-03-03,Boeing Stock Price,16.0
2020-03-04,Boeing Stock Price,11.0
2020-03-05,Boeing Stock Price,15.0
2020-03-06,Boeing Stock Price,17.0
2020-03-07,Boeing Stock Price,5.0
2020-03-08,Boeing Stock Price,4.0
2020-03-09,Boeing Stock Price,19.0
2020-03-10,Boeing Stock Price,24.0
2020-03-11,Boeing Stock Price,33.0
2020-03-12,Boeing Stock Price,56.0
2020-03-13,Boeing Stock Price,47.0
2020-03-14,Boeing Stock Price,19.0
2020-03-15,Boeing Stock Price,7.0
2020-03-16,Boeing Stock Price,45.0
2020-03-17,Boeing Stock Price,53.0
2020-03-18,Boeing Stock Price,79.0
2020-03-19,Boeing Stock Price,74.0
2020-03-20,Boeing Stock Price,72.0
2020-03-21,Boeing Stock Price,31.0
2020-03-22,Boeing Stock Price,21.0
2020-03-23,Boeing Stock Price,67.0
2020-03-24,Boeing Stock Price,79.0
2020-03-25,Boeing Stock Price,100.0
2020-03-26,Boeing Stock Price,99.0
2020-03-27,Boeing Stock Price,86.0
2020-03-28,Boeing Stock Price,31.0
2020-03-29,Boeing Stock Price,17.0
2020-03-30,Boeing Stock Price,59.0
2020-03-31,Boeing Stock Price,51.0
2020-04-01,Boeing Stock Price,94.0
2020-04-02,Boeing Stock Price,100.0
2020-04-03,Boeing Stock Price,81.0
2020-04-04,Boeing Stock Price,30.0
2020-04-05,Boeing Stock Price,23.0
2020-04-06,Boeing Stock Price,85.0
2020-04-07,Boeing Stock Price,94.0
2020-04-08,Boeing Stock Price,79.0
2020-04-09,Boeing Stock Price,73.0
2020-04-10,Boeing Stock Price,42.0
2020-04-11,Boeing Stock Price,19.0
2020-04-12,Boeing Stock Price,18.0
2020-04-13,Boeing Stock Price,54.0
2020-04-14,Boeing Stock Price,62.0
2020-04-15,Boeing Stock Price,76.0
2020-04-16,Boeing Stock Price,60.0
2020-04-17,Boeing Stock Price,77.0
2020-04-18,Boeing Stock Price,28.0
2020-04-19,Boeing Stock Price,14.0
2020-04-20,Boeing Stock Price,66.0
2020-04-21,Boeing Stock Price,71.0
2020-04-22,Boeing Stock Price,62.0
2020-04-23,Boeing Stock Price,55.0
2020-04-24,Boeing Stock Price,55.0
2020-04-25,Boeing Stock Price,19.0
2020-04-26,Boeing Stock Price,13.0
2020-04-27,Boeing Stock Price,62.0
2020-04-28,Boeing Stock Price,58.0
2020-04-29,Boeing Stock Price,68.0
2020-04-30,Boeing Stock Price,59.0
2020-05-01,Boeing Stock Price,52.78
2020-05-02,Boeing Stock Price,17.4
2020-05-03,Boeing Stock Price,12.76
2020-05-04,Boeing Stock Price,53.36
2020-05-05,Boeing Stock Price,56.84
2020-05-06,Boeing Stock Price,51.04
2020-05-07,Boeing Stock Price,52.78
2020-05-08,Boeing Stock Price,55.67999999999999
2020-05-09,Boeing Stock Price,13.919999999999998
2020-05-10,Boeing Stock Price,10.44
2020-05-11,Boeing Stock Price,41.18
2020-05-12,Boeing Stock Price,48.72
