date,GS
2015-07-21,68.30999999999999
2015-07-22,61.41
2015-07-23,65.55
2015-07-24,67.61999999999999
2015-07-25,57.27
2015-07-26,58.65
2015-07-27,58.65
2015-07-28,62.78999999999999
2015-07-29,59.34
2015-07-30,66.24
2015-07-31,69.0
2015-08-01,57.4
2015-08-02,56.7
2015-08-03,63.7
2015-08-04,70.0
2015-08-05,65.1
2015-08-06,66.5
2015-08-07,61.6
2015-08-08,67.19999999999999
2015-08-09,59.49999999999999
2015-08-10,65.1
2015-08-11,65.8
2015-08-12,65.1
2015-08-13,66.5
2015-08-14,64.39999999999999
2015-08-15,57.4
2015-08-16,54.6
2015-08-17,55.3
2015-08-18,68.6
2015-08-19,68.6
2015-08-20,59.49999999999999
2015-08-21,68.6
2015-08-22,57.4
2015-08-23,59.49999999999999
2015-08-24,65.1
2015-08-25,62.3
2015-08-26,62.99999999999999
2015-08-27,66.5
2015-08-28,66.5
2015-08-29,60.2
2015-08-30,59.49999999999999
2015-08-31,63.7
2015-09-01,63.7
2015-09-02,63.7
2015-09-03,65.0
2015-09-04,61.1
2015-09-05,58.5
2015-09-06,53.3
2015-09-07,52.0
2015-09-08,61.1
2015-09-09,60.45
2015-09-10,59.15
2015-09-11,61.1
2015-09-12,56.55
2015-09-13,51.35
2015-09-14,53.3
2015-09-15,62.400000000000006
2015-09-16,64.35000000000001
2015-09-17,61.1
2015-09-18,61.75
2015-09-19,65.0
2015-09-20,47.45
2015-09-21,59.15
2015-09-22,58.5
2015-09-23,60.45
2015-09-24,59.15
2015-09-25,62.400000000000006
2015-09-26,61.75
2015-09-27,51.35
2015-09-28,55.9
2015-09-29,55.9
2015-09-30,61.75
2015-10-01,53.76
2015-10-02,56.32
2015-10-03,50.56
2015-10-04,51.84
2015-10-05,60.16
2015-10-06,52.48
2015-10-07,55.68
2015-10-08,62.72
2015-10-09,53.76
2015-10-10,53.76
2015-10-11,46.72
2015-10-12,51.84
2015-10-13,55.04
2015-10-14,51.84
2015-10-15,59.52
2015-10-16,64.0
2015-10-17,52.48
2015-10-18,54.4
2015-10-19,60.8
2015-10-20,60.16
2015-10-21,64.0
2015-10-22,60.8
2015-10-23,57.6
2015-10-24,54.4
2015-10-25,62.72
2015-10-26,55.04
2015-10-27,59.52
2015-10-28,61.44
2015-10-29,59.52
2015-10-30,59.52
2015-10-31,53.120000000000005
2015-11-01,48.99
2015-11-02,41.89
2015-11-03,58.93
2015-11-04,54.67
2015-11-05,58.93
2015-11-06,56.8
2015-11-07,56.8
2015-11-08,58.93
2015-11-09,58.22
2015-11-10,56.09
2015-11-11,49.7
2015-11-12,57.51
2015-11-13,54.67
2015-11-14,49.7
2015-11-15,50.41
2015-11-16,52.54
2015-11-17,61.06
2015-11-18,54.67
2015-11-19,58.93
2015-11-20,58.22
2015-11-21,55.38
2015-11-22,48.99
2015-11-23,62.48
2015-11-24,63.19
2015-11-25,71.0
2015-11-26,55.38
2015-11-27,56.09
2015-11-28,65.32
2015-11-29,61.77
2015-11-30,58.22
2015-12-01,61.5
2015-12-02,63.0
2015-12-03,67.5
2015-12-04,57.0
2015-12-05,59.25
2015-12-06,66.0
2015-12-07,66.0
2015-12-08,66.0
2015-12-09,69.75
2015-12-10,66.0
2015-12-11,59.25
2015-12-12,75.0
2015-12-13,73.5
2015-12-14,64.5
2015-12-15,63.75
2015-12-16,60.75
2015-12-17,66.75
2015-12-18,66.0
2015-12-19,68.25
2015-12-20,56.25
2015-12-21,73.5
2015-12-22,69.0
2015-12-23,63.75
2015-12-24,62.25
2015-12-25,67.5
2015-12-26,64.5
2015-12-27,57.0
2015-12-28,66.75
2015-12-29,71.25
2015-12-30,66.75
2015-12-31,66.0
2016-01-01,56.8
2016-01-02,56.09
2016-01-03,63.19
2016-01-04,64.61
2016-01-05,67.45
2016-01-06,66.74
2016-01-07,61.06
2016-01-08,61.06
2016-01-09,63.9
2016-01-10,58.22
2016-01-11,55.38
2016-01-12,63.9
2016-01-13,66.03
2016-01-14,62.48
2016-01-15,68.86999999999999
2016-01-16,56.09
2016-01-17,63.9
2016-01-18,56.09
2016-01-19,67.45
2016-01-20,65.32
2016-01-21,63.19
2016-01-22,65.32
2016-01-23,61.77
2016-01-24,53.96
2016-01-25,62.48
2016-01-26,63.9
2016-01-27,63.19
2016-01-28,70.28999999999999
2016-01-29,66.03
2016-01-30,71.0
2016-01-31,63.19
2016-02-01,41.18
2016-02-02,46.15
2016-02-03,46.86
2016-02-04,51.12
2016-02-05,43.31
2016-02-06,48.99
2016-02-07,50.41
2016-02-08,41.89
2016-02-09,44.73
2016-02-10,48.28
2016-02-11,50.41
2016-02-12,49.7
2016-02-13,45.44
2016-02-14,39.76
2016-02-15,38.34
2016-02-16,41.89
2016-02-17,48.99
2016-02-18,48.28
2016-02-19,48.28
2016-02-20,53.25
2016-02-21,51.12
2016-02-22,47.57
2016-02-23,45.44
2016-02-24,47.57
2016-02-25,55.38
2016-02-26,51.83
2016-02-27,48.99
2016-02-28,71.0
2016-02-29,48.99
2016-03-01,68.25
2016-03-02,65.25
2016-03-03,62.25
2016-03-04,71.25
2016-03-05,71.25
2016-03-06,68.25
2016-03-07,60.75
2016-03-08,64.5
2016-03-09,62.25
2016-03-10,69.0
2016-03-11,62.25
2016-03-12,72.75
2016-03-13,61.5
2016-03-14,60.75
2016-03-15,66.75
2016-03-16,61.5
2016-03-17,64.5
2016-03-18,59.25
2016-03-19,69.75
2016-03-20,75.0
2016-03-21,63.75
2016-03-22,63.75
2016-03-23,60.75
2016-03-24,69.0
2016-03-25,59.25
2016-03-26,66.75
2016-03-27,63.75
2016-03-28,65.25
2016-03-29,65.25
2016-03-30,65.25
2016-03-31,69.0
2016-04-01,59.76
2016-04-02,73.03999999999999
2016-04-03,57.27
2016-04-04,66.39999999999999
2016-04-05,62.25
2016-04-06,68.06
2016-04-07,58.1
2016-04-08,67.22999999999999
2016-04-09,61.42
2016-04-10,77.19
2016-04-11,78.02
2016-04-12,59.76
2016-04-13,63.08
2016-04-14,83.0
2016-04-15,54.78
2016-04-16,70.55
2016-04-17,58.93
2016-04-18,57.27
2016-04-19,83.0
2016-04-20,57.27
2016-04-21,54.78
2016-04-22,70.55
2016-04-23,62.25
2016-04-24,65.57
2016-04-25,63.08
2016-04-26,66.39999999999999
2016-04-27,59.76
2016-04-28,61.42
2016-04-29,58.1
2016-04-30,55.61
2016-05-01,53.4
2016-05-02,46.28
2016-05-03,44.5
2016-05-04,50.73
2016-05-05,40.94
2016-05-06,44.5
2016-05-07,43.61
2016-05-08,51.62
2016-05-09,46.28
2016-05-10,56.96
2016-05-11,50.73
2016-05-12,54.29
2016-05-13,48.95
2016-05-14,40.94
2016-05-15,43.61
2016-05-16,48.95
2016-05-17,60.52
2016-05-18,43.61
2016-05-19,62.3
2016-05-20,46.28
2016-05-21,51.62
2016-05-22,48.95
2016-05-23,64.97
