date,Chevron Stock Price
2014-09-09,6.6000000000000005
2014-09-10,9.6
2014-09-11,4.7
2014-09-12,4.1000000000000005
2014-09-13,4.0
2014-09-14,10.0
2014-09-15,4.7
2014-09-16,5.0
2014-09-17,0.0
2014-09-18,0.0
2014-09-19,0.0
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,3.0
2014-09-23,3.8
2014-09-24,5.5
2014-09-25,3.1
2014-09-26,4.0
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,0.0
2014-09-30,0.0
2014-10-01,0.0
2014-10-02,2.99
2014-10-03,1.95
2014-10-04,13.0
2014-10-05,0.0
2014-10-06,1.82
2014-10-07,0.0
2014-10-08,2.34
2014-10-09,0.0
2014-10-10,2.6
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,1.82
2014-10-14,7.15
2014-10-15,4.42
2014-10-16,2.73
2014-10-17,6.24
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,3.64
2014-10-21,0.0
2014-10-22,4.55
2014-10-23,3.12
2014-10-24,7.800000000000001
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,3.9
2014-10-28,0.0
2014-10-29,4.16
2014-10-30,4.03
2014-10-31,1.82
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,8.19
2014-11-04,8.84
2014-11-05,8.84
2014-11-06,4.16
2014-11-07,10.53
2014-11-08,11.44
2014-11-09,4.55
2014-11-10,0.0
2014-11-11,11.83
2014-11-12,8.84
2014-11-13,11.96
2014-11-14,4.8100000000000005
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,3.77
2014-11-18,0.0
2014-11-19,7.41
2014-11-20,0.0
2014-11-21,13.0
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,7.800000000000001
2014-11-25,11.83
2014-11-26,0.0
2014-11-27,0.0
2014-11-28,8.71
2014-11-29,10.27
2014-11-30,6.24
2014-12-01,7.56
2014-12-02,24.840000000000003
2014-12-03,5.130000000000001
2014-12-04,8.370000000000001
2014-12-05,5.94
2014-12-06,7.56
2014-12-07,0.0
2014-12-08,14.04
2014-12-09,7.56
2014-12-10,27.0
2014-12-11,15.12
2014-12-12,24.840000000000003
2014-12-13,0.0
2014-12-14,14.580000000000002
2014-12-15,18.09
2014-12-16,14.85
2014-12-17,16.740000000000002
2014-12-18,19.17
2014-12-19,12.69
2014-12-20,5.4
2014-12-21,0.0
2014-12-22,8.100000000000001
2014-12-23,20.520000000000003
2014-12-24,6.210000000000001
2014-12-25,0.0
2014-12-26,11.34
2014-12-27,8.100000000000001
2014-12-28,0.0
2014-12-29,17.82
2014-12-30,18.630000000000003
2014-12-31,19.71
2015-01-01,0.0
2015-01-02,10.15
2015-01-03,5.22
2015-01-04,0.0
2015-01-05,22.04
2015-01-06,24.07
2015-01-07,29.0
2015-01-08,11.6
2015-01-09,18.56
2015-01-10,9.57
2015-01-11,7.539999999999999
2015-01-12,28.42
2015-01-13,15.079999999999998
2015-01-14,22.33
2015-01-15,14.79
2015-01-16,14.499999999999998
2015-01-17,10.73
2015-01-18,10.73
2015-01-19,9.86
2015-01-20,14.79
2015-01-21,13.919999999999998
2015-01-22,22.04
2015-01-23,10.73
2015-01-24,13.34
2015-01-25,0.0
2015-01-26,7.539999999999999
2015-01-27,15.95
2015-01-28,22.33
2015-01-29,20.59
2015-01-30,19.72
2015-01-31,10.15
2015-02-01,7.54
2015-02-02,6.24
2015-02-03,10.4
2015-02-04,23.92
2015-02-05,20.8
2015-02-06,17.42
2015-02-07,11.96
2015-02-08,0.0
2015-02-09,9.62
2015-02-10,18.72
2015-02-11,10.4
2015-02-12,7.28
2015-02-13,23.14
2015-02-14,6.5
2015-02-15,18.72
2015-02-16,9.1
2015-02-17,14.04
2015-02-18,11.44
2015-02-19,17.94
2015-02-20,15.6
2015-02-21,4.16
2015-02-22,7.800000000000001
2015-02-23,10.4
