date,PG
2015-06-29,57.67
2015-06-30,56.94
2015-07-01,65.55
2015-07-02,65.55
2015-07-03,62.1
2015-07-04,60.03
2015-07-05,60.03
2015-07-06,60.03
2015-07-07,60.72
2015-07-08,64.17
2015-07-09,67.61999999999999
2015-07-10,65.55
2015-07-11,55.88999999999999
2015-07-12,51.74999999999999
2015-07-13,62.1
2015-07-14,61.41
2015-07-15,62.78999999999999
2015-07-16,59.34
2015-07-17,57.27
2015-07-18,49.67999999999999
2015-07-19,55.2
2015-07-20,61.41
2015-07-21,64.17
2015-07-22,62.1
2015-07-23,56.58
2015-07-24,55.2
2015-07-25,57.96
2015-07-26,49.67999999999999
2015-07-27,66.92999999999999
2015-07-28,53.81999999999999
2015-07-29,53.13
2015-07-30,69.0
2015-07-31,56.58
2015-08-01,44.88
2015-08-02,52.8
2015-08-03,48.84
2015-08-04,56.1
2015-08-05,52.8
2015-08-06,55.440000000000005
2015-08-07,52.14
2015-08-08,46.86
2015-08-09,51.48
2015-08-10,54.120000000000005
2015-08-11,52.8
2015-08-12,52.14
2015-08-13,60.06
2015-08-14,55.440000000000005
2015-08-15,56.760000000000005
2015-08-16,53.46
2015-08-17,56.760000000000005
2015-08-18,59.400000000000006
2015-08-19,53.46
2015-08-20,51.48
2015-08-21,53.46
2015-08-22,49.5
2015-08-23,57.42
2015-08-24,66.0
2015-08-25,64.68
2015-08-26,62.040000000000006
2015-08-27,58.74
2015-08-28,62.040000000000006
2015-08-29,50.16
2015-08-30,52.8
2015-08-31,55.440000000000005
2015-09-01,62.3
2015-09-02,60.2
2015-09-03,53.2
2015-09-04,56.0
2015-09-05,48.3
2015-09-06,56.0
2015-09-07,53.9
2015-09-08,58.8
2015-09-09,63.7
2015-09-10,65.1
2015-09-11,65.8
2015-09-12,62.99999999999999
2015-09-13,45.5
2015-09-14,61.6
2015-09-15,65.1
2015-09-16,62.3
2015-09-17,63.7
2015-09-18,70.0
2015-09-19,54.6
2015-09-20,46.2
2015-09-21,61.6
2015-09-22,64.39999999999999
2015-09-23,61.6
2015-09-24,62.3
2015-09-25,66.5
2015-09-26,52.5
2015-09-27,49.0
2015-09-28,62.3
2015-09-29,62.99999999999999
2015-09-30,68.6
2015-10-01,56.88
2015-10-02,58.32
2015-10-03,48.24
2015-10-04,51.84
2015-10-05,72.0
2015-10-06,71.28
2015-10-07,63.36
2015-10-08,63.36
2015-10-09,60.48
2015-10-10,46.08
2015-10-11,48.24
2015-10-12,64.8
2015-10-13,59.04
2015-10-14,65.52
2015-10-15,63.36
2015-10-16,61.2
2015-10-17,51.84
2015-10-18,54.72
2015-10-19,61.92
2015-10-20,70.56
2015-10-21,65.52
2015-10-22,57.6
2015-10-23,66.24
2015-10-24,52.56
2015-10-25,49.68
2015-10-26,61.92
2015-10-27,69.12
2015-10-28,69.12
2015-10-29,67.67999999999999
2015-10-30,61.92
2015-10-31,59.04
2015-11-01,51.06
2015-11-02,63.48
2015-11-03,67.61999999999999
2015-11-04,61.41
2015-11-05,61.41
2015-11-06,59.34
2015-11-07,47.61
2015-11-08,44.85
2015-11-09,62.1
2015-11-10,65.55
2015-11-11,52.44
2015-11-12,69.0
2015-11-13,62.78999999999999
2015-11-14,50.37
2015-11-15,50.37
2015-11-16,61.41
2015-11-17,63.48
2015-11-18,64.86
2015-11-19,64.17
2015-11-20,60.03
2015-11-21,44.16
2015-11-22,53.13
2015-11-23,51.74999999999999
2015-11-24,55.2
2015-11-25,62.78999999999999
2015-11-26,53.13
2015-11-27,53.13
2015-11-28,49.67999999999999
2015-11-29,53.13
2015-11-30,56.58
2015-12-01,58.290000000000006
2015-12-02,64.99000000000001
2015-12-03,67.0
2015-12-04,61.64
2015-12-05,54.27
2015-12-06,47.57
2015-12-07,57.620000000000005
2015-12-08,62.31
2015-12-09,62.98
2015-12-10,62.98
2015-12-11,60.970000000000006
2015-12-12,43.55
2015-12-13,48.91
2015-12-14,60.970000000000006
2015-12-15,55.61000000000001
2015-12-16,60.3
