date,Microsoft Stock Price
2014-12-20,2.9400000000000004
2014-12-21,3.22
2014-12-22,4.69
2014-12-23,1.6800000000000002
2014-12-24,3.7800000000000002
2014-12-25,0.0
2014-12-26,2.1
2014-12-27,1.8200000000000003
2014-12-28,0.0
2014-12-29,0.0
2014-12-30,1.05
2014-12-31,0.0
2015-01-01,0.0
2015-01-02,3.2
2015-01-03,2.8000000000000003
2015-01-04,2.56
2015-01-05,2.72
2015-01-06,1.68
2015-01-07,1.52
2015-01-08,8.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,2.08
2015-01-12,2.48
2015-01-13,3.12
2015-01-14,0.0
2015-01-15,2.0
2015-01-16,2.72
2015-01-17,1.2
2015-01-18,1.36
2015-01-19,2.0
2015-01-20,3.04
2015-01-21,3.12
2015-01-22,1.2
2015-01-23,4.24
2015-01-24,1.92
2015-01-25,1.52
2015-01-26,2.64
2015-01-27,4.64
2015-01-28,3.04
2015-01-29,2.8000000000000003
2015-01-30,4.96
2015-01-31,2.56
2015-02-01,1.1900000000000002
2015-02-02,3.5700000000000003
2015-02-03,3.7100000000000004
2015-02-04,3.08
2015-02-05,2.87
2015-02-06,1.4700000000000002
2015-02-07,0.0
2015-02-08,1.61
2015-02-09,1.7500000000000002
2015-02-10,2.31
2015-02-11,7.000000000000001
2015-02-12,1.6800000000000002
2015-02-13,3.7800000000000002
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,2.5900000000000003
2015-02-18,1.8200000000000003
2015-02-19,2.1
2015-02-20,4.69
2015-02-21,1.61
2015-02-22,0.0
2015-02-23,3.22
2015-02-24,1.61
2015-02-25,2.1700000000000004
2015-02-26,2.45
2015-02-27,2.66
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,1.92
2015-03-03,3.3
2015-03-04,3.9
2015-03-05,0.0
2015-03-06,2.16
2015-03-07,1.14
2015-03-08,0.0
2015-03-09,4.02
2015-03-10,3.1799999999999997
2015-03-11,1.26
2015-03-12,3.2399999999999998
2015-03-13,4.2
2015-03-14,2.1
2015-03-15,0.0
2015-03-16,4.62
2015-03-17,3.36
2015-03-18,3.9
2015-03-19,6.0
2015-03-20,2.88
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,2.76
2015-03-24,2.88
2015-03-25,5.3999999999999995
2015-03-26,1.68
2015-03-27,2.46
2015-03-28,1.44
2015-03-29,0.0
2015-03-30,1.6199999999999999
2015-03-31,1.6199999999999999
2015-04-01,2.64
2015-04-02,6.5600000000000005
2015-04-03,4.88
2015-04-04,1.52
2015-04-05,0.0
2015-04-06,3.52
2015-04-07,1.76
2015-04-08,3.6
2015-04-09,3.04
2015-04-10,1.36
2015-04-11,4.64
2015-04-12,3.6
2015-04-13,2.88
2015-04-14,3.84
2015-04-15,3.7600000000000002
2015-04-16,2.64
2015-04-17,4.64
2015-04-18,1.6
2015-04-19,0.0
2015-04-20,2.4
2015-04-21,4.48
2015-04-22,2.48
2015-04-23,4.48
2015-04-24,7.6000000000000005
2015-04-25,1.36
2015-04-26,1.68
2015-04-27,7.84
2015-04-28,5.28
2015-04-29,5.12
2015-04-30,8.0
2015-05-01,5.2
2015-05-02,2.48
2015-05-03,4.64
2015-05-04,5.6000000000000005
2015-05-05,3.12
2015-05-06,5.28
2015-05-07,2.24
2015-05-08,4.08
2015-05-09,6.48
2015-05-10,1.68
2015-05-11,5.68
2015-05-12,0.0
2015-05-13,2.56
2015-05-14,3.2
2015-05-15,3.68
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,4.5600000000000005
2015-05-19,5.2
2015-05-20,8.0
2015-05-21,1.2
2015-05-22,3.12
2015-05-23,3.52
2015-05-24,0.0
2015-05-25,2.16
2015-05-26,4.08
2015-05-27,3.04
2015-05-28,4.5600000000000005
2015-05-29,1.92
2015-05-30,0.0
2015-05-31,1.36
2015-06-01,0.0
2015-06-02,3.9200000000000004
2015-06-03,2.31
2015-06-04,4.9
2015-06-05,2.8000000000000003
2015-06-06,3.5000000000000004
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,1.54
2015-06-10,7.000000000000001
2015-06-11,1.8900000000000001
2015-06-12,0.0
2015-06-13,3.0100000000000002
2015-06-14,0.0
2015-06-15,1.4700000000000002
2015-06-16,3.5700000000000003
2015-06-17,3.7800000000000002
2015-06-18,3.3600000000000003
2015-06-19,6.44
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,1.12
2015-06-23,2.8000000000000003
2015-06-24,2.66
2015-06-25,0.0
2015-06-26,4.760000000000001
2015-06-27,0.0
2015-06-28,3.7800000000000002
2015-06-29,3.08
2015-06-30,3.99
2015-07-01,2.31
2015-07-02,3.5000000000000004
2015-07-03,1.7500000000000002
2015-07-04,3.99
2015-07-05,1.7500000000000002
2015-07-06,0.0
2015-07-07,1.4000000000000001
2015-07-08,3.22
2015-07-09,2.0300000000000002
2015-07-10,2.1
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,0.0
2015-07-14,2.9400000000000004
2015-07-15,1.8200000000000003
2015-07-16,1.61
2015-07-17,3.08
2015-07-18,3.5000000000000004
2015-07-19,1.8900000000000001
2015-07-20,2.24
2015-07-21,1.4700000000000002
2015-07-22,7.000000000000001
2015-07-23,1.1900000000000002
2015-07-24,0.0
2015-07-25,2.1
2015-07-26,0.0
2015-07-27,1.61
2015-07-28,3.3600000000000003
2015-07-29,2.0300000000000002
2015-07-30,4.2
2015-07-31,1.8900000000000001
2015-08-01,2.34
2015-08-02,0.0
2015-08-03,3.42
2015-08-04,3.33
2015-08-05,2.9699999999999998
2015-08-06,1.26
2015-08-07,1.6199999999999999
2015-08-08,0.0
2015-08-09,1.26
2015-08-10,2.07
2015-08-11,1.6199999999999999
2015-08-12,3.69
2015-08-13,1.53
2015-08-14,2.07
2015-08-15,2.88
2015-08-16,2.34
2015-08-17,1.53
2015-08-18,1.89
2015-08-19,1.3499999999999999
2015-08-20,4.32
2015-08-21,3.51
2015-08-22,1.89
2015-08-23,5.13
2015-08-24,9.0
2015-08-25,7.02
2015-08-26,4.41
2015-08-27,5.31
2015-08-28,3.33
2015-08-29,2.07
2015-08-30,1.98
2015-08-31,1.98
2015-09-01,6.48
2015-09-02,6.5600000000000005
2015-09-03,0.0
2015-09-04,3.52
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,2.72
2015-09-08,6.4
2015-09-09,5.28
2015-09-10,8.0
2015-09-11,6.32
2015-09-12,2.72
2015-09-13,2.32
2015-09-14,5.28
2015-09-15,5.6000000000000005
2015-09-16,2.72
2015-09-17,4.32
2015-09-18,2.88
2015-09-19,1.6
2015-09-20,2.64
2015-09-21,5.2
2015-09-22,5.12
2015-09-23,7.36
2015-09-24,3.52
2015-09-25,1.76
2015-09-26,2.24
2015-09-27,0.0
2015-09-28,7.68
2015-09-29,6.5600000000000005
2015-09-30,4.64
2015-10-01,5.1000000000000005
2015-10-02,1.1
2015-10-03,0.0
2015-10-04,1.5
2015-10-05,4.2
2015-10-06,8.0
2015-10-07,7.800000000000001
2015-10-08,4.2
2015-10-09,3.1
2015-10-10,9.200000000000001
2015-10-11,1.6
2015-10-12,1.8
2015-10-13,2.9000000000000004
2015-10-14,7.5
2015-10-15,3.9000000000000004
2015-10-16,4.1000000000000005
2015-10-17,0.0
2015-10-18,4.9
2015-10-19,4.0
2015-10-20,2.2
2015-10-21,4.4
2015-10-22,7.0
2015-10-23,10.0
2015-10-24,0.0
2015-10-25,1.5
2015-10-26,6.300000000000001
2015-10-27,5.7
2015-10-28,4.2
2015-10-29,7.5
2015-10-30,3.0
2015-10-31,0.0
2015-11-01,3.6
2015-11-02,7.36
2015-11-03,6.640000000000001
2015-11-04,8.0
2015-11-05,6.0
2015-11-06,3.36
2015-11-07,3.6
2015-11-08,2.0
2015-11-09,4.4
2015-11-10,0.0
2015-11-11,6.32
2015-11-12,7.6000000000000005
2015-11-13,4.48
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,6.08
2015-11-17,2.08
2015-11-18,6.0
2015-11-19,5.76
2015-11-20,7.04
2015-11-21,2.72
2015-11-22,6.640000000000001
2015-11-23,5.76
2015-11-24,3.04
2015-11-25,2.16
2015-11-26,0.0
2015-11-27,2.96
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,1.68
2015-12-01,5.5200000000000005
2015-12-02,4.08
2015-12-03,7.84
2015-12-04,1.76
2015-12-05,2.16
2015-12-06,0.0
2015-12-07,1.36
2015-12-08,7.28
2015-12-09,1.92
2015-12-10,5.36
2015-12-11,4.96
2015-12-12,4.4
2015-12-13,0.0
2015-12-14,3.52
2015-12-15,2.72
2015-12-16,7.12
2015-12-17,4.08
2015-12-18,4.0
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,6.32
2015-12-22,3.36
2015-12-23,0.0
2015-12-24,7.36
2015-12-25,2.56
2015-12-26,1.76
2015-12-27,3.52
2015-12-28,3.36
2015-12-29,8.0
2015-12-30,5.12
2015-12-31,3.12
2016-01-01,0.0
2016-01-02,1.98
2016-01-03,1.71
2016-01-04,2.88
2016-01-05,8.549999999999999
2016-01-06,5.22
2016-01-07,8.64
2016-01-08,7.199999999999999
2016-01-09,3.15
2016-01-10,1.98
2016-01-11,3.51
2016-01-12,9.0
2016-01-13,5.22
2016-01-14,4.41
2016-01-15,7.92
2016-01-16,5.58
2016-01-17,0.0
2016-01-18,2.07
2016-01-19,4.77
2016-01-20,5.9399999999999995
2016-01-21,5.22
2016-01-22,3.69
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,6.39
2016-01-26,6.93
2016-01-27,5.49
2016-01-28,8.19
2016-01-29,7.199999999999999
2016-01-30,0.0
2016-01-31,1.17
2016-02-01,2.9699999999999998
2016-02-02,4.2299999999999995
2016-02-03,5.58
2016-02-04,3.8699999999999997
