date,TSLA
2014-08-13,2.6
2014-08-14,2.35
2014-08-15,3.0
2014-08-16,0.6000000000000001
2014-08-17,1.2000000000000002
2014-08-18,2.1
2014-08-19,2.1
2014-08-20,2.6
2014-08-21,2.6
2014-08-22,1.75
2014-08-23,1.75
2014-08-24,0.8500000000000001
2014-08-25,4.0
2014-08-26,2.2
2014-08-27,1.65
2014-08-28,2.0500000000000003
2014-08-29,5.0
2014-08-30,1.35
2014-08-31,0.0
2014-09-01,1.4
2014-09-02,2.7
2014-09-03,3.2
2014-09-04,3.85
2014-09-05,3.9
2014-09-06,3.1500000000000004
2014-09-07,1.2000000000000002
2014-09-08,2.6
2014-09-09,2.0500000000000003
2014-09-10,1.2000000000000002
2014-09-11,3.75
2014-09-12,3.9
2014-09-13,1.65
2014-09-14,1.15
2014-09-15,3.9
2014-09-16,5.0
2014-09-17,2.25
2014-09-18,2.9000000000000004
2014-09-19,4.3
2014-09-20,1.5
2014-09-21,0.8
2014-09-22,2.5
2014-09-23,3.0
2014-09-24,2.5
2014-09-25,4.3
2014-09-26,2.2
2014-09-27,0.9
2014-09-28,0.65
2014-09-29,1.6
2014-09-30,0.7000000000000001
2014-10-01,1.95
2014-10-02,3.1500000000000004
2014-10-03,3.65
2014-10-04,1.25
2014-10-05,0.95
2014-10-06,1.55
2014-10-07,2.0
2014-10-08,1.95
2014-10-09,2.5
2014-10-10,5.0
2014-10-11,2.1
2014-10-12,1.0
2014-10-13,3.1
2014-10-14,3.5
2014-10-15,4.0
2014-10-16,2.95
2014-10-17,3.3000000000000003
2014-10-18,0.95
2014-10-19,0.7000000000000001
2014-10-20,1.7000000000000002
2014-10-21,2.25
2014-10-22,2.5
2014-10-23,1.8
2014-10-24,1.8
2014-10-25,0.6000000000000001
2014-10-26,0.0
2014-10-27,1.9
2014-10-28,2.95
2014-10-29,3.0500000000000003
2014-10-30,2.4000000000000004
2014-10-31,1.65
2014-11-01,0.0
2014-11-02,0.64
2014-11-03,2.0
2014-11-04,2.36
2014-11-05,3.4
2014-11-06,4.0
2014-11-07,2.12
2014-11-08,2.0
2014-11-09,0.52
2014-11-10,2.76
2014-11-11,2.92
2014-11-12,2.56
2014-11-13,2.32
2014-11-14,3.2
2014-11-15,2.12
2014-11-16,2.64
2014-11-17,0.92
2014-11-18,2.16
2014-11-19,2.32
2014-11-20,0.8
2014-11-21,2.16
2014-11-22,0.88
2014-11-23,1.6
2014-11-24,2.64
2014-11-25,1.4
2014-11-26,1.76
2014-11-27,1.48
2014-11-28,1.0
2014-11-29,1.56
2014-11-30,0.0
2014-12-01,1.8
2014-12-02,1.6
2014-12-03,2.52
2014-12-04,3.28
2014-12-05,2.92
2014-12-06,1.44
2014-12-07,1.64
2014-12-08,2.52
2014-12-09,3.48
2014-12-10,3.44
2014-12-11,2.52
2014-12-12,2.08
2014-12-13,2.4
2014-12-14,0.56
2014-12-15,1.44
2014-12-16,3.72
2014-12-17,3.4
2014-12-18,3.2
2014-12-19,3.44
2014-12-20,1.2
2014-12-21,0.64
2014-12-22,2.64
2014-12-23,4.0
2014-12-24,2.2
2014-12-25,0.84
2014-12-26,0.76
2014-12-27,0.76
2014-12-28,2.12
2014-12-29,2.56
2014-12-30,2.6
2014-12-31,2.64
2015-01-01,1.75
2015-01-02,2.7
2015-01-03,1.2000000000000002
2015-01-04,1.3
2015-01-05,3.35
2015-01-06,4.15
2015-01-07,3.1
2015-01-08,2.6500000000000004
2015-01-09,1.55
2015-01-10,1.5
2015-01-11,1.4
2015-01-12,2.5500000000000003
2015-01-13,2.0500000000000003
2015-01-14,5.0
2015-01-15,3.25
2015-01-16,3.6
2015-01-17,0.0
2015-01-18,0.7000000000000001
2015-01-19,1.6
2015-01-20,2.6500000000000004
2015-01-21,3.25
2015-01-22,2.25
2015-01-23,2.3000000000000003
2015-01-24,0.0
2015-01-25,0.8500000000000001
2015-01-26,3.4000000000000004
2015-01-27,2.7
2015-01-28,4.0
2015-01-29,2.1
2015-01-30,3.1
2015-01-31,1.0
2015-02-01,0.75
2015-02-02,1.55
2015-02-03,3.45
2015-02-04,0.0
2015-02-05,2.9000000000000004
2015-02-06,2.15
2015-02-07,2.85
2015-02-08,0.0
2015-02-09,0.5
2015-02-10,0.35
2015-02-11,3.3000000000000003
2015-02-12,4.4
2015-02-13,2.0500000000000003
2015-02-14,2.1
2015-02-15,1.3
2015-02-16,2.95
2015-02-17,5.0
2015-02-18,3.4000000000000004
2015-02-19,3.4000000000000004
2015-02-20,3.3000000000000003
2015-02-21,1.95
2015-02-22,1.7000000000000002
2015-02-23,1.7000000000000002
2015-02-24,2.25
2015-02-25,3.0500000000000003
2015-02-26,2.8000000000000003
2015-02-27,2.15
2015-02-28,1.5
2015-03-01,0.96
2015-03-02,1.12
2015-03-03,2.6
2015-03-04,3.12
2015-03-05,2.36
2015-03-06,2.44
2015-03-07,1.88
2015-03-08,0.68
2015-03-09,1.96
2015-03-10,2.44
2015-03-11,0.88
2015-03-12,2.52
2015-03-13,2.48
2015-03-14,0.0
2015-03-15,1.48
2015-03-16,1.56
2015-03-17,1.32
2015-03-18,1.8
2015-03-19,2.92
2015-03-20,2.72
2015-03-21,1.16
2015-03-22,1.72
2015-03-23,2.28
2015-03-24,3.44
2015-03-25,1.76
2015-03-26,3.68
2015-03-27,1.88
2015-03-28,1.52
2015-03-29,1.68
2015-03-30,3.68
2015-03-31,4.0
2015-04-01,2.45
2015-04-02,2.3000000000000003
2015-04-03,2.4000000000000004
2015-04-04,1.2000000000000002
2015-04-05,2.15
2015-04-06,4.15
2015-04-07,3.95
2015-04-08,2.5
2015-04-09,3.0500000000000003
2015-04-10,2.75
2015-04-11,1.85
2015-04-12,1.65
2015-04-13,2.8000000000000003
2015-04-14,2.5500000000000003
2015-04-15,2.7
2015-04-16,0.0
2015-04-17,3.25
2015-04-18,0.0
2015-04-19,0.75
2015-04-20,3.0
2015-04-21,1.8
2015-04-22,3.35
2015-04-23,4.05
2015-04-24,3.5
2015-04-25,1.8
2015-04-26,0.75
2015-04-27,0.8
2015-04-28,3.6
2015-04-29,2.5500000000000003
2015-04-30,5.0
2015-05-01,6.0
2015-05-02,2.64
2015-05-03,0.8999999999999999
2015-05-04,2.52
2015-05-05,2.76
2015-05-06,4.5
2015-05-07,2.58
2015-05-08,3.48
2015-05-09,2.52
2015-05-10,0.96
2015-05-11,2.16
2015-05-12,3.3
2015-05-13,2.28
2015-05-14,2.04
2015-05-15,2.58
2015-05-16,1.3199999999999998
2015-05-17,1.3199999999999998
2015-05-18,1.44
2015-05-19,2.04
2015-05-20,1.62
2015-05-21,3.06
2015-05-22,2.1
2015-05-23,1.3199999999999998
2015-05-24,0.0
2015-05-25,1.2
2015-05-26,1.14
2015-05-27,1.56
2015-05-28,1.92
2015-05-29,1.74
2015-05-30,0.96
2015-05-31,2.16
2015-06-01,3.2
2015-06-02,3.4000000000000004
2015-06-03,3.2
2015-06-04,2.95
2015-06-05,2.0500000000000003
2015-06-06,0.0
2015-06-07,2.5500000000000003
2015-06-08,3.0500000000000003
2015-06-09,2.9000000000000004
2015-06-10,3.6
2015-06-11,4.800000000000001
2015-06-12,3.0
2015-06-13,2.35
2015-06-14,0.0
2015-06-15,3.25
2015-06-16,3.35
2015-06-17,4.1000000000000005
2015-06-18,5.0
2015-06-19,3.2
2015-06-20,2.9000000000000004
2015-06-21,1.8
2015-06-22,3.35
2015-06-23,3.25
2015-06-24,3.6
2015-06-25,1.6
2015-06-26,4.15
2015-06-27,2.45
2015-06-28,1.05
2015-06-29,2.3000000000000003
2015-06-30,3.85
2015-07-01,4.05
2015-07-02,3.6
2015-07-03,1.8
2015-07-04,0.0
2015-07-05,1.8
2015-07-06,4.15
2015-07-07,3.2
2015-07-08,5.0
2015-07-09,2.95
2015-07-10,3.95
2015-07-11,0.8
2015-07-12,1.3
2015-07-13,4.4
2015-07-14,4.4
2015-07-15,2.6
2015-07-16,2.45
2015-07-17,4.5
2015-07-18,0.0
2015-07-19,2.0500000000000003
2015-07-20,1.65
2015-07-21,4.2
2015-07-22,3.65
2015-07-23,3.75
2015-07-24,3.5
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,4.05
2015-07-28,3.9
2015-07-29,4.0
2015-07-30,3.8
2015-07-31,4.05
2015-08-01,1.68
2015-08-02,0.6599999999999999
2015-08-03,2.58
2015-08-04,3.24
2015-08-05,3.42
2015-08-06,4.92
2015-08-07,3.06
2015-08-08,1.86
2015-08-09,1.38
2015-08-10,2.22
2015-08-11,2.1
2015-08-12,2.34
2015-08-13,2.82
2015-08-14,1.74
2015-08-15,1.86
2015-08-16,0.78
2015-08-17,2.4
2015-08-18,2.34
2015-08-19,2.28
2015-08-20,3.6
2015-08-21,3.12
2015-08-22,1.74
2015-08-23,1.02
2015-08-24,6.0
2015-08-25,4.92
2015-08-26,4.38
2015-08-27,4.08
2015-08-28,5.52
2015-08-29,0.54
2015-08-30,1.62
2015-08-31,2.64
2015-09-01,5.0
2015-09-02,3.75
2015-09-03,3.65
2015-09-04,3.5
2015-09-05,1.3
2015-09-06,2.0
2015-09-07,1.65
2015-09-08,2.35
2015-09-09,4.15
2015-09-10,4.4
2015-09-11,3.95
2015-09-12,1.4500000000000002
2015-09-13,2.0500000000000003
2015-09-14,3.75
2015-09-15,3.65
2015-09-16,3.45
2015-09-17,1.75
2015-09-18,4.25
2015-09-19,1.75
2015-09-20,0.9
2015-09-21,2.6500000000000004
2015-09-22,2.85
2015-09-23,2.7
2015-09-24,2.85
2015-09-25,2.9000000000000004
2015-09-26,1.05
2015-09-27,2.5500000000000003
2015-09-28,1.75
2015-09-29,3.6
2015-09-30,3.95
2015-10-01,3.85
2015-10-02,3.5500000000000003
2015-10-03,1.75
2015-10-04,0.8
2015-10-05,2.35
2015-10-06,5.0
2015-10-07,2.4000000000000004
2015-10-08,1.7000000000000002
2015-10-09,2.95
2015-10-10,0.75
2015-10-11,1.75
2015-10-12,2.25
2015-10-13,3.35
2015-10-14,1.75
2015-10-15,4.5
2015-10-16,2.85
2015-10-17,1.05
2015-10-18,0.0
2015-10-19,2.85
2015-10-20,3.65
2015-10-21,3.5500000000000003
2015-10-22,3.0
2015-10-23,2.8000000000000003
2015-10-24,1.9
2015-10-25,1.55
2015-10-26,2.45
2015-10-27,2.15
2015-10-28,1.55
2015-10-29,2.75
2015-10-30,2.4000000000000004
2015-10-31,1.15
