date,AXP
2014-10-08,0.0
2014-10-09,0.0
2014-10-10,6.0
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,9.0
2014-10-14,0.0
2014-10-15,0.0
2014-10-16,0.0
2014-10-17,0.0
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,10.8
2014-10-21,0.0
2014-10-22,14.0
2014-10-23,0.0
2014-10-24,0.0
2014-10-25,20.0
2014-10-26,0.0
2014-10-27,7.0
2014-10-28,0.0
2014-10-29,5.800000000000001
2014-10-30,0.0
2014-10-31,0.0
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,0.0
2014-11-04,8.64
2014-11-05,0.0
2014-11-06,0.0
2014-11-07,0.0
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,18.0
2014-11-11,5.94
2014-11-12,7.38
2014-11-13,0.0
2014-11-14,5.94
2014-11-15,7.739999999999999
2014-11-16,0.0
2014-11-17,0.0
2014-11-18,0.0
2014-11-19,0.0
2014-11-20,5.4
2014-11-21,6.66
2014-11-22,7.739999999999999
2014-11-23,0.0
2014-11-24,0.0
2014-11-25,0.0
2014-11-26,0.0
2014-11-27,0.0
2014-11-28,0.0
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,0.0
2014-12-02,0.0
2014-12-03,0.0
2014-12-04,0.0
2014-12-05,0.0
2014-12-06,4.8
2014-12-07,0.0
2014-12-08,0.0
2014-12-09,2.7
2014-12-10,0.0
2014-12-11,0.0
2014-12-12,0.0
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,0.0
2014-12-16,0.0
2014-12-17,4.65
2014-12-18,0.0
2014-12-19,0.0
2014-12-20,0.0
2014-12-21,15.0
2014-12-22,0.0
2014-12-23,5.1
2014-12-24,0.0
2014-12-25,0.0
2014-12-26,0.0
2014-12-27,0.0
2014-12-28,14.25
2014-12-29,0.0
2014-12-30,0.0
2014-12-31,0.0
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,4.84
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,4.73
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,9.57
2015-01-15,0.0
2015-01-16,0.0
2015-01-17,9.57
2015-01-18,0.0
2015-01-19,4.4
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,4.51
2015-01-23,4.62
2015-01-24,0.0
2015-01-25,11.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,7.04
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,15.079999999999998
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,17.689999999999998
2015-02-09,0.0
2015-02-10,13.34
2015-02-11,9.28
2015-02-12,9.57
2015-02-13,20.01
2015-02-14,0.0
2015-02-15,23.49
2015-02-16,12.76
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,28.13
2015-02-20,20.88
2015-02-21,26.68
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,16.82
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,29.0
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,24.18
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,13.02
2015-03-06,7.439999999999999
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,13.64
2015-03-10,0.0
2015-03-11,11.16
2015-03-12,13.33
2015-03-13,7.13
2015-03-14,31.0
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,14.26
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,17.36
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,9.92
2015-03-28,9.61
2015-03-29,0.0
2015-03-30,15.5
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,29.0
2015-04-06,7.829999999999999
2015-04-07,7.539999999999999
2015-04-08,23.78
2015-04-09,0.0
2015-04-10,0.0
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,0.0
2015-04-14,7.539999999999999
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,7.539999999999999
2015-04-20,6.959999999999999
2015-04-21,9.86
2015-04-22,18.56
2015-04-23,6.09
2015-04-24,0.0
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,9.28
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,17.0
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
