date,BA
2015-01-08,1.68
2015-01-09,1.84
2015-01-10,0.0
2015-01-11,1.0
2015-01-12,3.0
2015-01-13,0.0
2015-01-14,2.44
2015-01-15,1.04
2015-01-16,0.0
2015-01-17,2.04
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,2.88
2015-01-21,2.08
2015-01-22,3.4
2015-01-23,3.04
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,1.96
2015-01-27,2.32
2015-01-28,3.2
2015-01-29,4.0
2015-01-30,3.2
2015-01-31,1.64
2015-02-01,0.95
2015-02-02,2.45
2015-02-03,2.1
2015-02-04,2.25
2015-02-05,1.3
2015-02-06,1.75
2015-02-07,1.7000000000000002
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,1.75
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,2.35
2015-02-14,0.0
2015-02-15,1.65
2015-02-16,1.7000000000000002
2015-02-17,2.8000000000000003
2015-02-18,3.0500000000000003
2015-02-19,4.4
2015-02-20,4.3
2015-02-21,1.9
2015-02-22,0.0
2015-02-23,2.6500000000000004
2015-02-24,5.0
2015-02-25,2.8000000000000003
2015-02-26,2.3000000000000003
2015-02-27,3.1
2015-02-28,2.2
2015-03-01,0.0
2015-03-02,1.0
2015-03-03,4.0
2015-03-04,0.72
2015-03-05,1.08
2015-03-06,1.52
2015-03-07,1.16
2015-03-08,0.0
2015-03-09,0.0
2015-03-10,2.16
2015-03-11,0.96
2015-03-12,1.24
2015-03-13,2.12
2015-03-14,0.92
2015-03-15,0.0
2015-03-16,1.08
2015-03-17,1.32
2015-03-18,0.92
2015-03-19,2.16
2015-03-20,2.12
2015-03-21,1.52
2015-03-22,0.84
2015-03-23,2.6
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,1.04
2015-03-27,0.0
2015-03-28,1.16
2015-03-29,1.32
2015-03-30,0.56
2015-03-31,1.32
2015-04-01,0.0
2015-04-02,1.83
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,2.28
2015-04-07,2.25
2015-04-08,0.93
2015-04-09,2.58
2015-04-10,2.73
2015-04-11,1.11
2015-04-12,2.16
2015-04-13,2.67
2015-04-14,2.4
2015-04-15,2.31
2015-04-16,1.86
2015-04-17,0.0
2015-04-18,0.0
