date,Avalanche price
2014-04-18,5.13
2014-04-19,0.0
2014-04-20,7.41
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,19.0
2014-04-24,9.88
2014-04-25,0.0
2014-04-26,13.49
2014-04-27,0.0
2014-04-28,5.89
2014-04-29,0.0
2014-04-30,5.7
2014-05-01,12.32
2014-05-02,0.0
2014-05-03,16.0
2014-05-04,0.0
2014-05-05,4.32
2014-05-06,10.24
2014-05-07,6.5600000000000005
2014-05-08,0.0
2014-05-09,8.96
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,9.76
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,4.8
2014-05-16,0.0
2014-05-17,8.0
2014-05-18,6.08
2014-05-19,0.0
2014-05-20,0.0
2014-05-21,0.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-24,10.56
2014-05-25,12.8
2014-05-26,9.28
2014-05-27,14.08
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,0.0
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,7.6499999999999995
2014-06-05,5.55
2014-06-06,0.0
2014-06-07,0.0
2014-06-08,8.25
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,7.35
2014-06-13,0.0
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,4.8
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,10.95
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,4.35
2014-06-27,0.0
2014-06-28,15.0
2014-06-29,7.6499999999999995
2014-06-30,0.0
2014-07-01,0.0
2014-07-02,0.0
2014-07-03,5.040000000000001
2014-07-04,0.0
2014-07-05,0.0
2014-07-06,0.0
2014-07-07,0.0
2014-07-08,0.0
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,0.0
2014-07-12,0.0
2014-07-13,11.9
2014-07-14,0.0
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,4.760000000000001
2014-07-18,0.0
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,4.48
2014-07-22,0.0
2014-07-23,5.040000000000001
2014-07-24,0.0
2014-07-25,4.62
2014-07-26,14.000000000000002
2014-07-27,0.0
2014-07-28,0.0
2014-07-29,0.0
2014-07-30,0.0
2014-07-31,0.0
2014-08-01,6.12
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,0.0
2014-08-06,7.02
2014-08-07,9.54
2014-08-08,0.0
2014-08-09,6.66
2014-08-10,0.0
2014-08-11,7.739999999999999
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,18.0
2014-08-16,8.459999999999999
2014-08-17,0.0
2014-08-18,0.0
2014-08-19,6.66
2014-08-20,0.0
2014-08-21,5.58
2014-08-22,0.0
2014-08-23,0.0
2014-08-24,0.0
2014-08-25,0.0
2014-08-26,0.0
2014-08-27,12.42
2014-08-28,8.1
2014-08-29,0.0
2014-08-30,13.68
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,6.3
2014-09-03,0.0
2014-09-04,0.0
2014-09-05,15.0
2014-09-06,0.0
2014-09-07,4.35
2014-09-08,0.0
2014-09-09,0.0
2014-09-10,4.95
2014-09-11,0.0
2014-09-12,0.0
2014-09-13,0.0
2014-09-14,0.0
2014-09-15,0.0
2014-09-16,3.75
2014-09-17,0.0
2014-09-18,0.0
2014-09-19,0.0
2014-09-20,7.6499999999999995
2014-09-21,0.0
2014-09-22,6.75
2014-09-23,0.0
2014-09-24,8.4
2014-09-25,0.0
2014-09-26,7.199999999999999
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,4.8
2014-09-30,0.0
2014-10-01,0.0
2014-10-02,0.0
2014-10-03,0.0
2014-10-04,0.0
2014-10-05,7.0200000000000005
2014-10-06,0.0
2014-10-07,0.0
2014-10-08,0.0
2014-10-09,0.0
2014-10-10,0.0
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,0.0
2014-10-14,0.0
2014-10-15,2.47
2014-10-16,13.0
2014-10-17,3.64
2014-10-18,3.38
2014-10-19,0.0
2014-10-20,2.73
2014-10-21,0.0
2014-10-22,0.0
2014-10-23,2.47
2014-10-24,0.0
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,0.0
2014-10-28,3.5100000000000002
2014-10-29,5.98
2014-10-30,0.0
2014-10-31,0.0
2014-11-01,0.0
2014-11-02,15.0
2014-11-03,0.0
2014-11-04,0.0
2014-11-05,9.15
2014-11-06,0.0
2014-11-07,0.0
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,0.0
2014-11-11,6.6
2014-11-12,0.0
2014-11-13,0.0
2014-11-14,5.3999999999999995
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,4.8
2014-11-18,10.35
2014-11-19,0.0
2014-11-20,8.25
2014-11-21,0.0
