date,VZ
2015-01-02,30.53
2015-01-03,32.25
2015-01-04,33.11
2015-01-05,24.509999999999998
2015-01-06,31.39
2015-01-07,31.82
2015-01-08,33.97
2015-01-09,24.94
2015-01-10,30.53
2015-01-11,18.06
2015-01-12,24.94
2015-01-13,34.83
2015-01-14,31.82
2015-01-15,28.38
2015-01-16,33.54
2015-01-17,18.919999999999998
2015-01-18,15.91
2015-01-19,24.94
2015-01-20,22.79
2015-01-21,27.52
2015-01-22,43.0
2015-01-23,40.85
2015-01-24,30.96
2015-01-25,24.509999999999998
2015-01-26,31.82
2015-01-27,34.83
2015-01-28,31.82
2015-01-29,25.37
2015-01-30,33.97
2015-01-31,21.07
2015-02-01,21.56
2015-02-02,34.76
2015-02-03,38.72
2015-02-04,41.36
2015-02-05,41.36
2015-02-06,40.04
2015-02-07,31.24
2015-02-08,28.6
2015-02-09,34.76
2015-02-10,42.24
2015-02-11,33.0
2015-02-12,34.76
2015-02-13,38.28
2015-02-14,44.0
2015-02-15,31.24
2015-02-16,27.72
2015-02-17,38.28
2015-02-18,33.44
2015-02-19,31.68
2015-02-20,39.160000000000004
2015-02-21,25.96
2015-02-22,40.92
2015-02-23,32.56
2015-02-24,42.24
2015-02-25,41.36
2015-02-26,34.76
2015-02-27,34.76
2015-02-28,33.88
2015-03-01,30.8
2015-03-02,34.800000000000004
2015-03-03,37.6
2015-03-04,36.0
2015-03-05,33.2
2015-03-06,38.400000000000006
2015-03-07,26.8
2015-03-08,19.6
2015-03-09,34.800000000000004
2015-03-10,35.2
2015-03-11,32.0
2015-03-12,36.800000000000004
2015-03-13,31.200000000000003
2015-03-14,29.6
2015-03-15,33.2
2015-03-16,25.200000000000003
2015-03-17,29.200000000000003
2015-03-18,33.6
2015-03-19,40.0
2015-03-20,34.4
2015-03-21,31.6
2015-03-22,34.4
2015-03-23,24.400000000000002
2015-03-24,26.0
2015-03-25,26.400000000000002
2015-03-26,33.2
2015-03-27,32.4
2015-03-28,18.0
2015-03-29,23.200000000000003
2015-03-30,32.800000000000004
2015-03-31,34.0
2015-04-01,32.4
2015-04-02,26.8
2015-04-03,26.400000000000002
2015-04-04,23.200000000000003
2015-04-05,15.200000000000001
2015-04-06,28.8
2015-04-07,36.800000000000004
2015-04-08,32.800000000000004
2015-04-09,30.400000000000002
2015-04-10,31.200000000000003
2015-04-11,15.600000000000001
2015-04-12,23.6
2015-04-13,28.0
2015-04-14,25.200000000000003
2015-04-15,24.8
2015-04-16,24.8
2015-04-17,30.400000000000002
2015-04-18,21.200000000000003
2015-04-19,17.2
2015-04-20,37.2
2015-04-21,36.800000000000004
2015-04-22,40.0
2015-04-23,26.8
2015-04-24,23.200000000000003
2015-04-25,20.0
2015-04-26,30.400000000000002
2015-04-27,32.0
2015-04-28,35.2
2015-04-29,34.0
2015-04-30,24.8
2015-05-01,22.68
2015-05-02,13.86
2015-05-03,22.259999999999998
2015-05-04,19.32
2015-05-05,24.36
2015-05-06,20.16
2015-05-07,21.0
2015-05-08,25.2
2015-05-09,19.32
2015-05-10,17.22
2015-05-11,22.68
2015-05-12,42.0
2015-05-13,25.2
2015-05-14,28.56
2015-05-15,25.2
2015-05-16,12.6
2015-05-17,12.6
2015-05-18,21.0
2015-05-19,19.74
2015-05-20,24.36
2015-05-21,21.0
2015-05-22,23.52
2015-05-23,12.18
2015-05-24,22.259999999999998
2015-05-25,19.32
2015-05-26,21.0
2015-05-27,17.64
2015-05-28,19.32
2015-05-29,15.959999999999999
2015-05-30,18.9
2015-05-31,17.64
2015-06-01,22.549999999999997
2015-06-02,25.419999999999998
2015-06-03,25.83
2015-06-04,20.91
2015-06-05,35.26
2015-06-06,29.93
2015-06-07,25.419999999999998
2015-06-08,33.62
2015-06-09,29.11
2015-06-10,34.85
2015-06-11,28.29
2015-06-12,22.549999999999997
2015-06-13,27.88
2015-06-14,41.0
2015-06-15,30.749999999999996
2015-06-16,36.9
2015-06-17,27.88
2015-06-18,35.26
2015-06-19,27.47
2015-06-20,19.68
2015-06-21,20.91
2015-06-22,25.009999999999998
2015-06-23,35.26
2015-06-24,27.88
2015-06-25,27.88
2015-06-26,33.62
2015-06-27,27.47
2015-06-28,25.83
2015-06-29,28.7
2015-06-30,30.34
2015-07-01,24.36
2015-07-02,28.14
2015-07-03,26.88
2015-07-04,32.339999999999996
2015-07-05,13.02
2015-07-06,33.18
2015-07-07,26.88
2015-07-08,30.66
2015-07-09,35.699999999999996
2015-07-10,31.919999999999998
2015-07-11,13.02
2015-07-12,19.32
2015-07-13,31.5
2015-07-14,26.459999999999997
2015-07-15,35.699999999999996
2015-07-16,32.76
2015-07-17,27.72
2015-07-18,27.72
2015-07-19,18.9
2015-07-20,27.3
2015-07-21,42.0
2015-07-22,35.699999999999996
2015-07-23,34.86
2015-07-24,41.16
2015-07-25,28.98
2015-07-26,15.54
2015-07-27,31.919999999999998
2015-07-28,32.76
2015-07-29,34.44
2015-07-30,28.98
2015-07-31,37.8
2015-08-01,11.76
2015-08-02,23.099999999999998
2015-08-03,23.099999999999998
2015-08-04,33.6
2015-08-05,22.68
2015-08-06,31.5
2015-08-07,28.56
2015-08-08,23.52
2015-08-09,17.64
2015-08-10,25.2
2015-08-11,33.18
2015-08-12,28.56
2015-08-13,39.9
2015-08-14,28.98
2015-08-15,20.16
2015-08-16,17.22
2015-08-17,31.919999999999998
2015-08-18,28.14
2015-08-19,15.54
2015-08-20,19.74
2015-08-21,25.2
2015-08-22,26.88
2015-08-23,15.54
2015-08-24,42.0
2015-08-25,41.16
2015-08-26,38.22
2015-08-27,36.54
2015-08-28,31.08
2015-08-29,24.779999999999998
2015-08-30,17.64
2015-08-31,31.5
2015-09-01,33.2
2015-09-02,27.6
2015-09-03,37.2
2015-09-04,37.2
2015-09-05,28.0
2015-09-06,14.0
2015-09-07,26.400000000000002
2015-09-08,32.0
2015-09-09,31.200000000000003
2015-09-10,36.800000000000004
2015-09-11,40.0
2015-09-12,18.8
2015-09-13,18.0
2015-09-14,26.0
2015-09-15,30.400000000000002
2015-09-16,32.0
2015-09-17,32.4
2015-09-18,30.8
2015-09-19,16.0
2015-09-20,16.400000000000002
2015-09-21,40.0
2015-09-22,32.4
2015-09-23,31.200000000000003
2015-09-24,39.2
2015-09-25,34.0
2015-09-26,28.400000000000002
2015-09-27,25.6
2015-09-28,37.6
2015-09-29,32.4
2015-09-30,22.8
2015-10-01,28.470000000000002
2015-10-02,30.42
2015-10-03,20.28
2015-10-04,18.330000000000002
2015-10-05,28.080000000000002
2015-10-06,33.15
2015-10-07,29.64
2015-10-08,31.200000000000003
2015-10-09,27.3
2015-10-10,20.28
2015-10-11,5.8500000000000005
2015-10-12,28.080000000000002
2015-10-13,26.52
2015-10-14,25.740000000000002
2015-10-15,20.28
2015-10-16,20.67
2015-10-17,14.82
2015-10-18,16.77
2015-10-19,26.52
2015-10-20,39.0
2015-10-21,21.84
2015-10-22,27.69
2015-10-23,30.42
2015-10-24,24.18
2015-10-25,22.23
2015-10-26,24.96
2015-10-27,26.52
2015-10-28,31.200000000000003
2015-10-29,25.35
2015-10-30,20.28
2015-10-31,14.82
2015-11-01,22.04
2015-11-02,31.92
2015-11-03,32.3
2015-11-04,25.84
2015-11-05,31.16
2015-11-06,34.58
2015-11-07,26.22
2015-11-08,25.84
2015-11-09,24.32
2015-11-10,25.080000000000002
2015-11-11,29.64
2015-11-12,23.94
2015-11-13,31.16
2015-11-14,18.240000000000002
2015-11-15,15.2
2015-11-16,22.42
2015-11-17,31.16
2015-11-18,35.34
2015-11-19,27.740000000000002
2015-11-20,38.0
2015-11-21,30.4
2015-11-22,25.84
2015-11-23,30.4
2015-11-24,31.16
2015-11-25,36.1
2015-11-26,28.12
2015-11-27,34.58
2015-11-28,25.080000000000002
2015-11-29,18.240000000000002
2015-11-30,27.36
2015-12-01,35.49
2015-12-02,30.810000000000002
2015-12-03,24.18
2015-12-04,32.370000000000005
2015-12-05,30.03
2015-12-06,18.330000000000002
2015-12-07,31.98
2015-12-08,30.810000000000002
2015-12-09,31.98
2015-12-10,26.130000000000003
2015-12-11,31.200000000000003
2015-12-12,33.15
2015-12-13,24.18
2015-12-14,23.400000000000002
2015-12-15,31.98
2015-12-16,30.810000000000002
2015-12-17,31.98
2015-12-18,32.370000000000005
2015-12-19,30.810000000000002
2015-12-20,24.57
2015-12-21,39.0
2015-12-22,32.76
2015-12-23,37.44
2015-12-24,35.88
2015-12-25,25.35
2015-12-26,23.79
2015-12-27,28.470000000000002
2015-12-28,30.42
2015-12-29,38.61
2015-12-30,26.91
2015-12-31,24.96
2016-01-01,12.76
2016-01-02,18.04
2016-01-03,17.6
2016-01-04,31.24
2016-01-05,34.76
2016-01-06,28.16
2016-01-07,24.2
2016-01-08,33.0
2016-01-09,21.56
2016-01-10,17.16
2016-01-11,29.92
2016-01-12,24.2
2016-01-13,22.88
2016-01-14,30.8
2016-01-15,34.32
2016-01-16,23.76
2016-01-17,16.72
2016-01-18,24.64
2016-01-19,33.88
2016-01-20,38.28
2016-01-21,38.28
2016-01-22,44.0
2016-01-23,20.24
2016-01-24,23.76
2016-01-25,33.88
2016-01-26,27.72
2016-01-27,39.6
2016-01-28,36.08
2016-01-29,40.04
2016-01-30,29.04
2016-01-31,18.04
2016-02-01,34.2
2016-02-02,42.300000000000004
2016-02-03,45.0
2016-02-04,39.15
2016-02-05,37.800000000000004
2016-02-06,31.05
2016-02-07,17.55
2016-02-08,37.35
2016-02-09,36.45
2016-02-10,44.550000000000004
2016-02-11,40.95
2016-02-12,41.4
2016-02-13,27.0
2016-02-14,24.75
2016-02-15,20.7
