date,PG
2014-10-25,38.19
2014-10-26,49.02
2014-10-27,45.6
2014-10-28,54.15
2014-10-29,50.16
2014-10-30,54.72
2014-10-31,56.99999999999999
2014-11-01,53.69
2014-11-02,44.25
2014-11-03,54.28
2014-11-04,59.0
2014-11-05,50.74
2014-11-06,48.38
2014-11-07,50.15
2014-11-08,48.38
2014-11-09,43.07
2014-11-10,51.33
2014-11-11,50.74
2014-11-12,50.74
2014-11-13,58.41
2014-11-14,52.51
2014-11-15,46.61
2014-11-16,44.84
2014-11-17,51.33
2014-11-18,54.87
2014-11-19,56.64
2014-11-20,51.33
2014-11-21,54.28
2014-11-22,46.61
2014-11-23,47.79
2014-11-24,50.15
2014-11-25,47.79
2014-11-26,38.94
2014-11-27,38.35
2014-11-28,35.4
2014-11-29,41.89
2014-11-30,43.66
2014-12-01,48.38
2014-12-02,43.66
2014-12-03,56.05
2014-12-04,51.33
2014-12-05,52.51
2014-12-06,38.94
2014-12-07,40.12
2014-12-08,59.0
2014-12-09,54.87
2014-12-10,50.74
2014-12-11,58.41
2014-12-12,49.56
2014-12-13,41.89
2014-12-14,38.35
2014-12-15,49.56
2014-12-16,49.56
2014-12-17,53.1
2014-12-18,50.15
2014-12-19,51.33
2014-12-20,40.71
2014-12-21,43.66
2014-12-22,42.48
2014-12-23,45.43
2014-12-24,44.25
2014-12-25,34.22
2014-12-26,54.87
2014-12-27,40.12
2014-12-28,36.58
2014-12-29,44.84
2014-12-30,44.84
2014-12-31,48.97
2015-01-01,42.7
2015-01-02,38.43
2015-01-03,42.09
2015-01-04,39.04
2015-01-05,42.7
2015-01-06,55.51
2015-01-07,50.02
2015-01-08,47.58
2015-01-09,49.41
2015-01-10,39.65
2015-01-11,35.99
2015-01-12,48.8
2015-01-13,51.24
2015-01-14,58.56
2015-01-15,43.92
2015-01-16,46.97
2015-01-17,37.82
2015-01-18,40.87
2015-01-19,38.43
2015-01-20,50.63
2015-01-21,51.85
2015-01-22,53.07
2015-01-23,50.02
2015-01-24,40.87
2015-01-25,35.99
2015-01-26,53.07
2015-01-27,61.0
2015-01-28,53.68
2015-01-29,47.58
2015-01-30,50.02
2015-01-31,42.7
2015-02-01,39.68
2015-02-02,48.98
2015-02-03,54.56
2015-02-04,53.32
2015-02-05,55.8
2015-02-06,55.18
2015-02-07,45.26
2015-02-08,50.84
2015-02-09,49.6
2015-02-10,53.94
2015-02-11,50.22
2015-02-12,48.98
2015-02-13,53.94
2015-02-14,45.26
2015-02-15,38.44
2015-02-16,47.74
2015-02-17,56.42
2015-02-18,60.14
2015-02-19,56.42
2015-02-20,57.04
2015-02-21,47.74
2015-02-22,48.36
2015-02-23,53.94
2015-02-24,59.52
2015-02-25,57.66
2015-02-26,62.0
2015-02-27,54.56
2015-02-28,42.78
2015-03-01,52.92
2015-03-02,61.74
2015-03-03,59.22
2015-03-04,63.0
2015-03-05,60.48
2015-03-06,56.7
2015-03-07,56.7
2015-03-08,46.62
2015-03-09,54.18
2015-03-10,52.29
2015-03-11,56.07
2015-03-12,57.33
2015-03-13,51.66
2015-03-14,50.4
2015-03-15,41.58
2015-03-16,55.44
2015-03-17,54.18
2015-03-18,52.29
2015-03-19,50.4
2015-03-20,58.59
2015-03-21,49.14
2015-03-22,41.58
2015-03-23,54.18
2015-03-24,56.07
2015-03-25,44.1
2015-03-26,53.55
2015-03-27,58.59
2015-03-28,43.47
2015-03-29,44.73
2015-03-30,51.03
2015-03-31,61.11
2015-04-01,58.74
2015-04-02,57.42
2015-04-03,56.760000000000005
2015-04-04,50.82
2015-04-05,54.78
2015-04-06,55.440000000000005
2015-04-07,58.080000000000005
2015-04-08,58.080000000000005
2015-04-09,56.1
2015-04-10,61.38
2015-04-11,46.2
2015-04-12,49.5
2015-04-13,54.78
2015-04-14,63.36
2015-04-15,58.080000000000005
2015-04-16,55.440000000000005
2015-04-17,56.1
2015-04-18,52.14
2015-04-19,48.18
2015-04-20,59.400000000000006
2015-04-21,56.1
2015-04-22,60.06
2015-04-23,64.02
2015-04-24,59.400000000000006
2015-04-25,55.440000000000005
2015-04-26,52.8
2015-04-27,60.06
2015-04-28,66.0
2015-04-29,62.040000000000006
2015-04-30,64.02
2015-05-01,58.59
2015-05-02,42.21
2015-05-03,41.58
2015-05-04,56.7
2015-05-05,56.07
2015-05-06,54.81
2015-05-07,53.55
2015-05-08,52.92
2015-05-09,45.36
2015-05-10,42.21
2015-05-11,55.44
2015-05-12,63.0
2015-05-13,53.55
2015-05-14,54.81
2015-05-15,57.96
2015-05-16,43.47
2015-05-17,45.99
2015-05-18,55.44
2015-05-19,57.96
2015-05-20,57.96
2015-05-21,59.85
2015-05-22,63.0
2015-05-23,52.29
2015-05-24,50.4
2015-05-25,57.96
2015-05-26,58.59
2015-05-27,52.29
2015-05-28,55.44
2015-05-29,54.81
2015-05-30,52.92
2015-05-31,46.62
2015-06-01,66.24
2015-06-02,55.2
2015-06-03,57.96
2015-06-04,57.96
2015-06-05,59.34
2015-06-06,56.58
2015-06-07,55.2
2015-06-08,57.96
2015-06-09,66.24
2015-06-10,56.58
2015-06-11,58.65
2015-06-12,67.61999999999999
