date,Visa
2014-06-15,34.22
2014-06-16,47.2
2014-06-17,47.2
2014-06-18,44.84
2014-06-19,41.89
2014-06-20,42.48
2014-06-21,38.94
2014-06-22,37.76
2014-06-23,45.43
2014-06-24,46.61
2014-06-25,42.48
2014-06-26,43.66
2014-06-27,43.66
2014-06-28,37.17
2014-06-29,35.989999999999995
2014-06-30,45.43
2014-07-01,55.44
2014-07-02,57.33
2014-07-03,54.18
2014-07-04,44.1
2014-07-05,42.21
2014-07-06,44.1
2014-07-07,63.0
2014-07-08,62.37
2014-07-09,61.11
2014-07-10,54.18
2014-07-11,53.55
2014-07-12,43.47
2014-07-13,41.58
2014-07-14,54.18
2014-07-15,54.18
2014-07-16,53.55
2014-07-17,54.81
2014-07-18,51.03
2014-07-19,44.73
2014-07-20,42.84
2014-07-21,56.7
2014-07-22,57.33
2014-07-23,54.18
2014-07-24,50.4
2014-07-25,54.18
2014-07-26,43.47
2014-07-27,44.73
2014-07-28,56.07
2014-07-29,53.55
2014-07-30,55.44
2014-07-31,56.07
2014-08-01,48.98
2014-08-02,40.92
2014-08-03,41.54
2014-08-04,50.84
2014-08-05,55.8
2014-08-06,54.56
2014-08-07,54.56
2014-08-08,54.56
2014-08-09,44.02
2014-08-10,40.3
2014-08-11,60.14
2014-08-12,62.0
2014-08-13,51.46
2014-08-14,47.12
2014-08-15,45.26
2014-08-16,37.82
2014-08-17,40.3
2014-08-18,47.12
2014-08-19,47.74
2014-08-20,47.12
2014-08-21,44.64
2014-08-22,44.64
2014-08-23,39.68
2014-08-24,40.92
2014-08-25,45.88
2014-08-26,45.88
2014-08-27,45.26
2014-08-28,45.26
2014-08-29,41.54
2014-08-30,39.06
2014-08-31,34.72
2014-09-01,45.6
2014-09-02,53.58
2014-09-03,55.28999999999999
2014-09-04,52.44
2014-09-05,49.59
2014-09-06,44.46
2014-09-07,43.88999999999999
2014-09-08,54.72
2014-09-09,55.85999999999999
2014-09-10,56.99999999999999
2014-09-11,49.02
2014-09-12,49.59
2014-09-13,45.03
2014-09-14,41.61
2014-09-15,51.3
2014-09-16,51.87
2014-09-17,51.3
2014-09-18,50.16
2014-09-19,47.31
2014-09-20,42.18
2014-09-21,42.18
2014-09-22,50.73
2014-09-23,51.3
2014-09-24,51.87
2014-09-25,47.88
2014-09-26,48.45
2014-09-27,41.61
2014-09-28,44.46
2014-09-29,51.87
2014-09-30,55.28999999999999
2014-10-01,58.28
2014-10-02,57.04
2014-10-03,56.42
2014-10-04,48.36
2014-10-05,48.98
2014-10-06,57.04
2014-10-07,57.66
2014-10-08,59.52
2014-10-09,62.0
2014-10-10,57.04
2014-10-11,47.12
2014-10-12,49.6
2014-10-13,54.56
2014-10-14,55.18
2014-10-15,58.28
2014-10-16,53.94
2014-10-17,52.08
2014-10-18,47.74
2014-10-19,46.5
2014-10-20,54.56
2014-10-21,55.8
2014-10-22,52.7
2014-10-23,50.84
2014-10-24,52.08
2014-10-25,46.5
2014-10-26,42.78
2014-10-27,53.32
2014-10-28,53.32
2014-10-29,55.18
2014-10-30,53.94
2014-10-31,53.32
2014-11-01,44.53
2014-11-02,45.75
2014-11-03,54.29
2014-11-04,53.07
2014-11-05,50.02
2014-11-06,50.63
2014-11-07,51.85
2014-11-08,43.92
2014-11-09,44.53
2014-11-10,61.0
2014-11-11,54.29
2014-11-12,50.63
2014-11-13,48.8
2014-11-14,47.58
2014-11-15,45.14
2014-11-16,39.04
2014-11-17,51.85
2014-11-18,52.46
2014-11-19,51.24
2014-11-20,50.63
2014-11-21,54.9
2014-11-22,45.14
2014-11-23,41.48
2014-11-24,51.24
2014-11-25,49.41
2014-11-26,45.75
2014-11-27,40.87
2014-11-28,46.36
2014-11-29,44.53
2014-11-30,46.97
2014-12-01,58.65
2014-12-02,54.51
2014-12-03,55.88999999999999
2014-12-04,55.2
2014-12-05,52.44
2014-12-06,46.92
2014-12-07,46.92
2014-12-08,60.03
2014-12-09,63.48
2014-12-10,60.03
2014-12-11,53.13
2014-12-12,56.58
2014-12-13,51.74999999999999
2014-12-14,51.06
2014-12-15,60.03
2014-12-16,62.1
2014-12-17,60.03
2014-12-18,60.72
2014-12-19,55.88999999999999
2014-12-20,54.51
2014-12-21,52.44
2014-12-22,61.41
2014-12-23,55.88999999999999
2014-12-24,53.81999999999999
2014-12-25,54.51
2014-12-26,57.96
2014-12-27,58.65
2014-12-28,55.88999999999999
2014-12-29,69.0
2014-12-30,61.41
2014-12-31,60.03
2015-01-01,44.88
2015-01-02,56.760000000000005
