date,KO
2015-09-28,25.8
2015-09-29,25.37
2015-09-30,25.37
2015-10-01,34.980000000000004
2015-10-02,34.45
2015-10-03,32.86
2015-10-04,38.16
2015-10-05,34.45
2015-10-06,29.68
2015-10-07,31.270000000000003
2015-10-08,35.510000000000005
2015-10-09,30.74
2015-10-10,31.8
2015-10-11,33.39
2015-10-12,33.92
2015-10-13,32.33
2015-10-14,37.63
2015-10-15,37.63
2015-10-16,41.34
2015-10-17,45.05
2015-10-18,42.400000000000006
2015-10-19,35.510000000000005
2015-10-20,39.75
2015-10-21,40.81
2015-10-22,42.400000000000006
2015-10-23,42.400000000000006
2015-10-24,48.23
2015-10-25,53.0
2015-10-26,37.1
2015-10-27,40.81
2015-10-28,38.690000000000005
2015-10-29,41.34
2015-10-30,43.99
2015-10-31,50.35
2015-11-01,27.9
2015-11-02,20.46
2015-11-03,21.39
2015-11-04,22.32
2015-11-05,24.18
2015-11-06,21.39
2015-11-07,26.040000000000003
2015-11-08,25.110000000000003
2015-11-09,22.32
2015-11-10,24.18
2015-11-11,26.97
2015-11-12,30.69
2015-11-13,28.83
2015-11-14,33.480000000000004
2015-11-15,93.0
2015-11-16,45.57
2015-11-17,37.2
2015-11-18,32.550000000000004
2015-11-19,32.550000000000004
2015-11-20,32.550000000000004
2015-11-21,39.06
2015-11-22,39.06
2015-11-23,31.62
2015-11-24,33.480000000000004
2015-11-25,30.69
2015-11-26,39.06
2015-11-27,36.27
2015-11-28,39.99
2015-11-29,39.99
2015-11-30,27.9
2015-12-01,43.35
2015-12-02,45.9
2015-12-03,43.35
2015-12-04,40.8
2015-12-05,52.7
2015-12-06,46.75
2015-12-07,43.35
2015-12-08,46.75
2015-12-09,50.15
2015-12-10,45.05
2015-12-11,44.2
2015-12-12,56.95
2015-12-13,85.0
2015-12-14,47.6
2015-12-15,46.75
2015-12-16,47.6
2015-12-17,42.5
2015-12-18,39.1
2015-12-19,49.3
2015-12-20,47.6
2015-12-21,40.8
2015-12-22,43.35
2015-12-23,44.2
2015-12-24,43.35
2015-12-25,49.3
2015-12-26,43.35
2015-12-27,41.65
2015-12-28,45.05
2015-12-29,45.05
2015-12-30,46.75
2015-12-31,45.9
2016-01-01,49.0
2016-01-02,34.79
2016-01-03,39.2
2016-01-04,37.24
2016-01-05,36.75
2016-01-06,37.24
2016-01-07,33.81
2016-01-08,40.67
2016-01-09,39.2
2016-01-10,38.22
2016-01-11,35.77
2016-01-12,35.77
2016-01-13,36.75
2016-01-14,35.28
2016-01-15,40.18
2016-01-16,38.22
2016-01-17,43.12
2016-01-18,41.16
2016-01-19,39.2
2016-01-20,34.3
2016-01-21,37.24
2016-01-22,37.24
2016-01-23,40.67
2016-01-24,35.28
2016-01-25,33.32
2016-01-26,41.65
2016-01-27,38.71
2016-01-28,37.24
2016-01-29,36.75
2016-01-30,40.18
2016-01-31,41.16
2016-02-01,34.4
2016-02-02,39.56
2016-02-03,39.99
2016-02-04,41.28
2016-02-05,40.85
2016-02-06,43.0
2016-02-07,42.57
2016-02-08,33.54
2016-02-09,39.99
2016-02-10,37.41
2016-02-11,35.69
2016-02-12,40.42
2016-02-13,39.13
2016-02-14,37.84
2016-02-15,37.84
2016-02-16,38.7
2016-02-17,38.27
2016-02-18,42.14
2016-02-19,40.85
2016-02-20,42.57
2016-02-21,42.14
2016-02-22,38.7
2016-02-23,38.7
2016-02-24,35.26
2016-02-25,41.28
2016-02-26,40.85
2016-02-27,40.42
2016-02-28,41.28
2016-02-29,36.12
2016-03-01,30.24
2016-03-02,30.24
2016-03-03,30.24
2016-03-04,31.5
2016-03-05,33.6
2016-03-06,34.86
2016-03-07,30.66
2016-03-08,28.98
2016-03-09,32.34
2016-03-10,37.8
2016-03-11,33.6
2016-03-12,34.86
2016-03-13,28.98
2016-03-14,29.4
2016-03-15,32.76
2016-03-16,32.76
2016-03-17,29.4
2016-03-18,30.66
2016-03-19,32.34
2016-03-20,42.0
2016-03-21,34.44
2016-03-22,32.76
2016-03-23,30.66
2016-03-24,31.08
2016-03-25,29.82
2016-03-26,29.82
2016-03-27,33.6
2016-03-28,30.66
2016-03-29,29.82
2016-03-30,32.34
2016-03-31,31.5
2016-04-01,34.96
2016-04-02,37.260000000000005
2016-04-03,42.78
2016-04-04,46.0
2016-04-05,34.5
2016-04-06,36.8
2016-04-07,31.74
2016-04-08,37.260000000000005
2016-04-09,35.88
2016-04-10,35.88
2016-04-11,40.48
2016-04-12,33.58
2016-04-13,32.660000000000004
2016-04-14,34.96
2016-04-15,33.120000000000005
2016-04-16,32.660000000000004
2016-04-17,37.72
2016-04-18,32.2
2016-04-19,34.04
2016-04-20,35.88
2016-04-21,32.2
2016-04-22,34.04
2016-04-23,37.260000000000005
2016-04-24,33.58
2016-04-25,33.120000000000005
2016-04-26,30.82
2016-04-27,30.82
2016-04-28,32.2
2016-04-29,29.44
2016-04-30,26.22
2016-05-01,19.36
2016-05-02,20.24
2016-05-03,18.92
2016-05-04,20.24
2016-05-05,19.8
2016-05-06,21.12
2016-05-07,20.24
2016-05-08,44.0
2016-05-09,26.84
2016-05-10,20.68
2016-05-11,22.0
2016-05-12,20.24
2016-05-13,21.56
2016-05-14,22.0
2016-05-15,30.36
2016-05-16,24.2
2016-05-17,19.8
