date,HD
2014-09-22,50.02
2014-09-23,49.41
2014-09-24,50.63
2014-09-25,51.24
2014-09-26,53.68
2014-09-27,57.95
2014-09-28,60.39
2014-09-29,46.36
2014-09-30,51.85
2014-10-01,45.36
2014-10-02,47.25
2014-10-03,46.62
2014-10-04,50.4
2014-10-05,52.29
2014-10-06,45.36
2014-10-07,44.73
2014-10-08,44.73
2014-10-09,44.1
2014-10-10,47.88
2014-10-11,55.44
2014-10-12,63.0
2014-10-13,47.25
2014-10-14,44.1
2014-10-15,43.47
2014-10-16,43.47
2014-10-17,45.36
2014-10-18,55.44
2014-10-19,58.59
2014-10-20,44.1
2014-10-21,51.03
2014-10-22,45.36
2014-10-23,44.1
2014-10-24,49.77
2014-10-25,59.22
2014-10-26,58.59
2014-10-27,44.73
2014-10-28,47.25
2014-10-29,47.88
2014-10-30,47.25
2014-10-31,49.77
2014-11-01,48.99
2014-11-02,50.41
2014-11-03,38.34
2014-11-04,41.89
2014-11-05,36.92
2014-11-06,41.18
2014-11-07,36.92
2014-11-08,51.12
2014-11-09,53.25
2014-11-10,43.31
2014-11-11,43.31
2014-11-12,41.89
2014-11-13,40.47
2014-11-14,42.6
2014-11-15,48.99
2014-11-16,49.7
2014-11-17,39.76
2014-11-18,39.76
2014-11-19,41.18
2014-11-20,40.47
2014-11-21,44.02
2014-11-22,50.41
2014-11-23,51.83
2014-11-24,47.57
2014-11-25,44.73
2014-11-26,45.44
2014-11-27,63.19
2014-11-28,71.0
2014-11-29,63.9
2014-11-30,53.96
2014-12-01,59.2
2014-12-02,52.8
2014-12-03,53.6
2014-12-04,51.2
2014-12-05,56.0
2014-12-06,56.0
2014-12-07,61.6
2014-12-08,52.0
2014-12-09,50.400000000000006
2014-12-10,51.2
2014-12-11,49.6
2014-12-12,53.6
2014-12-13,66.4
2014-12-14,66.4
2014-12-15,54.400000000000006
2014-12-16,55.2
2014-12-17,49.6
2014-12-18,55.2
2014-12-19,52.8
2014-12-20,67.2
2014-12-21,62.400000000000006
2014-12-22,58.400000000000006
2014-12-23,57.6
2014-12-24,68.8
2014-12-25,78.4
2014-12-26,80.0
2014-12-27,69.60000000000001
2014-12-28,72.0
2014-12-29,63.2
2014-12-30,56.0
2014-12-31,65.60000000000001
2015-01-01,59.16
2015-01-02,56.440000000000005
2015-01-03,61.88
2015-01-04,63.24
2015-01-05,48.28
2015-01-06,51.68000000000001
2015-01-07,51.00000000000001
2015-01-08,46.92
2015-01-09,51.68000000000001
2015-01-10,57.8
2015-01-11,56.440000000000005
2015-01-12,46.24
2015-01-13,46.24
2015-01-14,51.68000000000001
2015-01-15,48.96
2015-01-16,49.64
2015-01-17,57.8
2015-01-18,63.92
2015-01-19,53.720000000000006
2015-01-20,51.68000000000001
2015-01-21,49.64
2015-01-22,53.040000000000006
2015-01-23,51.00000000000001
2015-01-24,68.0
2015-01-25,63.24
2015-01-26,51.68000000000001
2015-01-27,53.720000000000006
2015-01-28,48.28
2015-01-29,47.6
2015-01-30,53.040000000000006
2015-01-31,63.24
2015-02-01,73.0
2015-02-02,59.86
2015-02-03,59.86
2015-02-04,53.29
2015-02-05,54.02
2015-02-06,51.83
2015-02-07,68.62
2015-02-08,70.81
2015-02-09,56.21
2015-02-10,57.67
2015-02-11,57.67
2015-02-12,53.29
2015-02-13,56.94
