date,CRM_unscaled,CRM_monthly,scale,CRM
2014-02-01,35,60.0,0.6,21.0
2014-02-02,26,60.0,0.6,15.6
2014-02-03,70,60.0,0.6,42.0
2014-02-04,99,60.0,0.6,59.4
2014-02-05,96,60.0,0.6,57.599999999999994
2014-02-06,87,60.0,0.6,52.199999999999996
2014-02-07,93,60.0,0.6,55.8
2014-02-08,46,60.0,0.6,27.599999999999998
2014-02-09,33,60.0,0.6,19.8
2014-02-10,85,60.0,0.6,51.0
2014-02-11,96,60.0,0.6,57.599999999999994
2014-02-12,94,60.0,0.6,56.4
2014-02-13,99,60.0,0.6,59.4
2014-02-14,92,60.0,0.6,55.199999999999996
2014-02-15,39,60.0,0.6,23.4
2014-02-16,32,60.0,0.6,19.2
2014-02-17,80,60.0,0.6,48.0
2014-02-18,86,60.0,0.6,51.6
2014-02-19,92,60.0,0.6,55.199999999999996
2014-02-20,89,60.0,0.6,53.4
2014-02-21,91,60.0,0.6,54.6
2014-02-22,35,60.0,0.6,21.0
2014-02-23,39,60.0,0.6,23.4
2014-02-24,88,60.0,0.6,52.8
2014-02-25,95,60.0,0.6,57.0
2014-02-26,99,60.0,0.6,59.4
2014-02-27,100,60.0,0.6,60.0
2014-02-28,100,60.0,0.6,60.0
2014-03-01,32,58.0,0.58,18.56
2014-03-02,30,58.0,0.58,17.4
2014-03-03,76,58.0,0.58,44.08
2014-03-04,91,58.0,0.58,52.779999999999994
2014-03-05,100,58.0,0.58,57.99999999999999
2014-03-06,86,58.0,0.58,49.879999999999995
2014-03-07,71,58.0,0.58,41.18
2014-03-08,34,58.0,0.58,19.72
2014-03-09,33,58.0,0.58,19.139999999999997
2014-03-10,89,58.0,0.58,51.62
2014-03-11,79,58.0,0.58,45.82
2014-03-12,90,58.0,0.58,52.199999999999996
2014-03-13,90,58.0,0.58,52.199999999999996
2014-03-14,77,58.0,0.58,44.66
2014-03-15,33,58.0,0.58,19.139999999999997
2014-03-16,29,58.0,0.58,16.82
2014-03-17,81,58.0,0.58,46.98
2014-03-18,94,58.0,0.58,54.519999999999996
2014-03-19,90,58.0,0.58,52.199999999999996
2014-03-20,85,58.0,0.58,49.3
2014-03-21,90,58.0,0.58,52.199999999999996
2014-03-22,32,58.0,0.58,18.56
2014-03-23,27,58.0,0.58,15.659999999999998
2014-03-24,85,58.0,0.58,49.3
2014-03-25,87,58.0,0.58,50.459999999999994
2014-03-26,92,58.0,0.58,53.36
2014-03-27,82,58.0,0.58,47.559999999999995
2014-03-28,77,58.0,0.58,44.66
2014-03-29,32,58.0,0.58,18.56
2014-03-30,24,58.0,0.58,13.919999999999998
2014-03-31,76,58.0,0.58,44.08
2014-04-01,87,59.0,0.59,51.33
2014-04-02,92,59.0,0.59,54.279999999999994
2014-04-03,97,59.0,0.59,57.23
2014-04-04,70,59.0,0.59,41.3
2014-04-05,38,59.0,0.59,22.419999999999998
2014-04-06,29,59.0,0.59,17.11
2014-04-07,82,59.0,0.59,48.379999999999995
2014-04-08,96,59.0,0.59,56.64
2014-04-09,81,59.0,0.59,47.79
2014-04-10,87,59.0,0.59,51.33
2014-04-11,74,59.0,0.59,43.66
2014-04-12,31,59.0,0.59,18.29
2014-04-13,32,59.0,0.59,18.88
2014-04-14,76,59.0,0.59,44.839999999999996
2014-04-15,92,59.0,0.59,54.279999999999994
2014-04-16,92,59.0,0.59,54.279999999999994
2014-04-17,83,59.0,0.59,48.97
2014-04-18,63,59.0,0.59,37.169999999999995
2014-04-19,30,59.0,0.59,17.7
2014-04-20,29,59.0,0.59,17.11
